bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
Who came with you today?,I came with Maya.,My dad.,My family.,My mom.,My grandma.
Can you come back tomorrow?,What time?,I need to ask my parents.,"Yes, after school.","Yes, I can.",Okay.
Please come back if it gets worse.,What counts as worse?,"Thank you, Doctor.",I will return if needed.,"Okay, I will tell my parents.",I understand.
Would you like a morning or afternoon appointment?,What times are available?,"Afternoon, please.",Morning is better for me.,Either is fine.,After school would help.
"In your own words, what brings you in today?",I feel worse when I exercise.,I need advice about sleeping better.,My throat has been sore.,I’ve had dizziness since last night.,I think I may have caught a cold.
Is it okay if I check your throat?,"Yes, but please be gentle.",Can you explain first?,"Okay, please go ahead.","I feel a bit nervous, but okay.","Yes, that’s fine."
"If you disagree with advice, how can you say that politely?","I understand, but I’m worried about side effects.",Could we look at another option?,I’d like a second opinion if possible.,Thank you. I need time to think.,Can you explain why that is best?
Let’s plan a check-in. What works for you?,I can come on Friday.,Next week after school.,Please text my parent the time.,A message reminder would help.,Mornings are difficult.
Do I have your consent to proceed with the examination?,"I consent, but tell me if anything will hurt.",Can we wait one minute first?,"Yes, you have my consent.",I’d like my parent present.,"Yes, please explain each step."
Do you feel ready to leave with a clear plan?,Yes. I’ll book the follow-up now.,Almost—one more question about dosing.,Yes. Thank you for explaining.,"Yes, and I’ll message if anything changes.",Yes. I understand the next steps.
Who came with you today?,I came with Yuki.,My dad.,My family.,My grandma.,My mom.
Can you come back tomorrow?,I need to ask my parents.,What time?,Okay.,"Yes, I can.","Yes, after school."
Please come back if it gets worse.,"Thank you, Doctor.",What counts as worse?,"Okay, I will tell my parents.",I will return if needed.,I understand.
Would you like a morning or afternoon appointment?,"Afternoon, please.",Morning is better for me.,Either is fine.,After school would help.,What times are available?
"In your own words, what brings you in today?",I feel worse when I exercise.,I think I may have caught a cold.,I need advice about sleeping better.,My nose has been sore.,I’ve had a fever since last night.
Is it okay if I check your throat?,"Yes, that’s fine.",Can you explain first?,"I feel a bit nervous, but okay.","Okay, please go ahead.","Yes, but please be gentle."
"If you disagree with advice, how can you say that politely?",Could we look at another option?,Thank you. I need time to think.,Can you explain why that is best?,I’d like a second opinion if possible.,"I understand, but I’m worried about side effects."
Let’s plan a check-in. What works for you?,I can come on Friday.,Mornings are difficult.,Please text my parent the time.,A message reminder would help.,Next week after school.
Do I have your consent to proceed with the examination?,"Yes, you have my consent.","Yes, please explain each step.",I’d like my parent present.,Can we wait one minute first?,"I consent, but tell me if anything will hurt."
Do you feel ready to leave with a clear plan?,Yes. Thank you for explaining.,Yes. I understand the next steps.,Yes. I’ll book the follow-up now.,Almost—one more question about dosing.,"Yes, and I’ll message if anything changes."
Who came with you today?,I came with Maya.,My grandma.,My dad.,My family.,My mom.
Can you come back tomorrow?,I need to ask my parents.,What time?,Okay.,"Yes, I can.","Yes, after school."
Please come back if it gets worse.,"Okay, I will tell my parents.",I understand.,I will return if needed.,"Thank you, Doctor.",What counts as worse?
Would you like a morning or afternoon appointment?,"Afternoon, please.",What times are available?,Morning is better for me.,Either is fine.,After school would help.
"In your own words, what brings you in today?",I need advice about sleeping better.,I think I may have caught a cold.,My back has been sore.,I’ve had a runny nose since last night.,I feel worse when I exercise.
Is it okay if I check your throat?,Can you explain first?,"Okay, please go ahead.","Yes, but please be gentle.","I feel a bit nervous, but okay.","Yes, that’s fine."
"If you disagree with advice, how can you say that politely?","I understand, but I’m worried about side effects.",Could we look at another option?,Can you explain why that is best?,I’d like a second opinion if possible.,Thank you. I need time to think.
Let’s plan a check-in. What works for you?,I can come on Friday.,Next week after school.,Mornings are difficult.,Please text my parent the time.,A message reminder would help.
Do I have your consent to proceed with the examination?,Can we wait one minute first?,"I consent, but tell me if anything will hurt.","Yes, please explain each step.","Yes, you have my consent.",I’d like my parent present.
Do you feel ready to leave with a clear plan?,Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.,"Yes, and I’ll message if anything changes.",Yes. I understand the next steps.,Almost—one more question about dosing.
Who came with you today?,My dad.,My family.,My mom.,My grandma.,I came with Yuki.
Can you come back tomorrow?,Okay.,"Yes, I can.",What time?,I need to ask my parents.,"Yes, after school."
Please come back if it gets worse.,I understand.,What counts as worse?,I will return if needed.,"Okay, I will tell my parents.","Thank you, Doctor."
Would you like a morning or afternoon appointment?,Morning is better for me.,Either is fine.,What times are available?,"Afternoon, please.",After school would help.
"In your own words, what brings you in today?",My eye has been sore.,I’ve had a rash since last night.,I feel worse when I exercise.,I need advice about sleeping better.,I think I may have caught a cold.
Is it okay if I check your throat?,"Yes, that’s fine.","I feel a bit nervous, but okay.","Yes, but please be gentle.",Can you explain first?,"Okay, please go ahead."
"If you disagree with advice, how can you say that politely?","I understand, but I’m worried about side effects.",Thank you. I need time to think.,I’d like a second opinion if possible.,Can you explain why that is best?,Could we look at another option?
Let’s plan a check-in. What works for you?,Mornings are difficult.,Next week after school.,I can come on Friday.,Please text my parent the time.,A message reminder would help.
Do I have your consent to proceed with the examination?,"Yes, you have my consent.","I consent, but tell me if anything will hurt.",I’d like my parent present.,"Yes, please explain each step.",Can we wait one minute first?
Do you feel ready to leave with a clear plan?,Almost—one more question about dosing.,Yes. Thank you for explaining.,Yes. I understand the next steps.,Yes. I’ll book the follow-up now.,"Yes, and I’ll message if anything changes."
Who came with you today?,My family.,My mom.,I came with Maya.,My grandma.,My dad.
Can you come back tomorrow?,Okay.,"Yes, I can.","Yes, after school.",What time?,I need to ask my parents.
Please come back if it gets worse.,"Okay, I will tell my parents.",What counts as worse?,"Thank you, Doctor.",I will return if needed.,I understand.
Would you like a morning or afternoon appointment?,After school would help.,"Afternoon, please.",Either is fine.,What times are available?,Morning is better for me.
"In your own words, what brings you in today?",I’ve had a headache since last night.,I feel worse when I exercise.,I think I may have caught a cold.,My head has been sore.,I need advice about sleeping better.
Is it okay if I check your throat?,"I feel a bit nervous, but okay.","Yes, that’s fine.",Can you explain first?,"Yes, but please be gentle.","Okay, please go ahead."
"If you disagree with advice, how can you say that politely?",Can you explain why that is best?,Could we look at another option?,"I understand, but I’m worried about side effects.",Thank you. I need time to think.,I’d like a second opinion if possible.
Let’s plan a check-in. What works for you?,Please text my parent the time.,I can come on Friday.,Mornings are difficult.,Next week after school.,A message reminder would help.
Do I have your consent to proceed with the examination?,I’d like my parent present.,Can we wait one minute first?,"I consent, but tell me if anything will hurt.","Yes, you have my consent.","Yes, please explain each step."
Do you feel ready to leave with a clear plan?,Yes. I understand the next steps.,Yes. I’ll book the follow-up now.,Yes. Thank you for explaining.,"Yes, and I’ll message if anything changes.",Almost—one more question about dosing.
Who came with you today?,I came with Yuki.,My dad.,My grandma.,My family.,My mom.
Can you come back tomorrow?,What time?,Okay.,"Yes, I can.","Yes, after school.",I need to ask my parents.
Please come back if it gets worse.,"Thank you, Doctor.",I will return if needed.,"Okay, I will tell my parents.",I understand.,What counts as worse?
Would you like a morning or afternoon appointment?,What times are available?,"Afternoon, please.",After school would help.,Either is fine.,Morning is better for me.
"In your own words, what brings you in today?",I think I may have caught a cold.,My hand has been sore.,I need advice about sleeping better.,I’ve had a stomachache since last night.,I feel worse when I exercise.
Is it okay if I check your throat?,"Yes, but please be gentle.","Yes, that’s fine.","Okay, please go ahead.","I feel a bit nervous, but okay.",Can you explain first?
"If you disagree with advice, how can you say that politely?",Thank you. I need time to think.,Can you explain why that is best?,Could we look at another option?,I’d like a second opinion if possible.,"I understand, but I’m worried about side effects."
Let’s plan a check-in. What works for you?,A message reminder would help.,Next week after school.,Mornings are difficult.,I can come on Friday.,Please text my parent the time.
Do I have your consent to proceed with the examination?,Can we wait one minute first?,"Yes, you have my consent.","Yes, please explain each step.","I consent, but tell me if anything will hurt.",I’d like my parent present.
Do you feel ready to leave with a clear plan?,Almost—one more question about dosing.,Yes. I’ll book the follow-up now.,Yes. Thank you for explaining.,Yes. I understand the next steps.,"Yes, and I’ll message if anything changes."
Who came with you today?,I came with Maya.,My mom.,My family.,My dad.,My grandma.
Can you come back tomorrow?,I need to ask my parents.,What time?,"Yes, I can.","Yes, after school.",Okay.
Please come back if it gets worse.,"Thank you, Doctor.",What counts as worse?,I understand.,I will return if needed.,"Okay, I will tell my parents."
Would you like a morning or afternoon appointment?,Morning is better for me.,What times are available?,After school would help.,"Afternoon, please.",Either is fine.
"In your own words, what brings you in today?",My tooth has been sore.,I think I may have caught a cold.,I’ve had ear pain since last night.,I feel worse when I exercise.,I need advice about sleeping better.
Is it okay if I check your throat?,"Yes, but please be gentle.","I feel a bit nervous, but okay.",Can you explain first?,"Yes, that’s fine.","Okay, please go ahead."
"If you disagree with advice, how can you say that politely?",Could we look at another option?,"I understand, but I’m worried about side effects.",Can you explain why that is best?,Thank you. I need time to think.,I’d like a second opinion if possible.
Let’s plan a check-in. What works for you?,Please text my parent the time.,Mornings are difficult.,I can come on Friday.,Next week after school.,A message reminder would help.
Do I have your consent to proceed with the examination?,"Yes, you have my consent.","I consent, but tell me if anything will hurt.",Can we wait one minute first?,"Yes, please explain each step.",I’d like my parent present.
Do you feel ready to leave with a clear plan?,Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.,Yes. I understand the next steps.,"Yes, and I’ll message if anything changes.",Almost—one more question about dosing.
Who came with you today?,My family.,My grandma.,My dad.,I came with Yuki.,My mom.
Can you come back tomorrow?,What time?,"Yes, after school.",Okay.,I need to ask my parents.,"Yes, I can."
Please come back if it gets worse.,What counts as worse?,I will return if needed.,I understand.,"Thank you, Doctor.","Okay, I will tell my parents."
Would you like a morning or afternoon appointment?,Either is fine.,"Afternoon, please.",What times are available?,Morning is better for me.,After school would help.
"In your own words, what brings you in today?",I think I may have caught a cold.,I’ve had a sore throat since last night.,My throat has been sore.,I feel worse when I exercise.,I need advice about sleeping better.
Is it okay if I check your throat?,"I feel a bit nervous, but okay.","Yes, but please be gentle.",Can you explain first?,"Okay, please go ahead.","Yes, that’s fine."
"If you disagree with advice, how can you say that politely?",Can you explain why that is best?,I’d like a second opinion if possible.,"I understand, but I’m worried about side effects.",Could we look at another option?,Thank you. I need time to think.
Let’s plan a check-in. What works for you?,A message reminder would help.,Next week after school.,I can come on Friday.,Mornings are difficult.,Please text my parent the time.
Do I have your consent to proceed with the examination?,"Yes, please explain each step.",I’d like my parent present.,"Yes, you have my consent.","I consent, but tell me if anything will hurt.",Can we wait one minute first?
Do you feel ready to leave with a clear plan?,Yes. I’ll book the follow-up now.,Almost—one more question about dosing.,Yes. I understand the next steps.,Yes. Thank you for explaining.,"Yes, and I’ll message if anything changes."
Who came with you today?,I came with Maya.,My mom.,My family.,My dad.,My grandma.
Can you come back tomorrow?,I need to ask my parents.,What time?,"Yes, I can.","Yes, after school.",Okay.
Please come back if it gets worse.,"Thank you, Doctor.",I understand.,I will return if needed.,"Okay, I will tell my parents.",What counts as worse?
Would you like a morning or afternoon appointment?,Morning is better for me.,What times are available?,"Afternoon, please.",After school would help.,Either is fine.
"In your own words, what brings you in today?",I’ve had an allergy since last night.,I think I may have caught a cold.,I feel worse when I exercise.,I need advice about sleeping better.,My foot has been sore.
Is it okay if I check your throat?,Can you explain first?,"I feel a bit nervous, but okay.","Yes, but please be gentle.","Okay, please go ahead.","Yes, that’s fine."
"If you disagree with advice, how can you say that politely?",Can you explain why that is best?,I’d like a second opinion if possible.,Thank you. I need time to think.,"I understand, but I’m worried about side effects.",Could we look at another option?
Let’s plan a check-in. What works for you?,I can come on Friday.,A message reminder would help.,Please text my parent the time.,Next week after school.,Mornings are difficult.
Do I have your consent to proceed with the examination?,I’d like my parent present.,Can we wait one minute first?,"Yes, please explain each step.","Yes, you have my consent.","I consent, but tell me if anything will hurt."
Do you feel ready to leave with a clear plan?,"Yes, and I’ll message if anything changes.",Yes. I understand the next steps.,Yes. I’ll book the follow-up now.,Almost—one more question about dosing.,Yes. Thank you for explaining.
Who came with you today?,My family.,My mom.,My grandma.,I came with Yuki.,My dad.
Can you come back tomorrow?,What time?,"Yes, after school.","Yes, I can.",Okay.,I need to ask my parents.
Please come back if it gets worse.,What counts as worse?,I understand.,"Thank you, Doctor.",I will return if needed.,"Okay, I will tell my parents."
Would you like a morning or afternoon appointment?,After school would help.,"Afternoon, please.",What times are available?,Either is fine.,Morning is better for me.
"In your own words, what brings you in today?",I’ve had a fever since last night.,I think I may have caught a cold.,I feel worse when I exercise.,I need advice about sleeping better.,My back has been sore.
Is it okay if I check your throat?,"Yes, but please be gentle.","Okay, please go ahead.","Yes, that’s fine.","I feel a bit nervous, but okay.",Can you explain first?
"If you disagree with advice, how can you say that politely?",Could we look at another option?,Thank you. I need time to think.,"I understand, but I’m worried about side effects.",I’d like a second opinion if possible.,Can you explain why that is best?
Let’s plan a check-in. What works for you?,A message reminder would help.,I can come on Friday.,Next week after school.,Please text my parent the time.,Mornings are difficult.
Do I have your consent to proceed with the examination?,"Yes, you have my consent.","I consent, but tell me if anything will hurt.",Can we wait one minute first?,"Yes, please explain each step.",I’d like my parent present.
Do you feel ready to leave with a clear plan?,Yes. I understand the next steps.,Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.,"Yes, and I’ll message if anything changes.",Almost—one more question about dosing.
Who came with you today?,My dad.,My mom.,I came with Maya.,My family.,My grandma.
Can you come back tomorrow?,What time?,Okay.,"Yes, after school.","Yes, I can.",I need to ask my parents.
Please come back if it gets worse.,What counts as worse?,"Okay, I will tell my parents.",I understand.,"Thank you, Doctor.",I will return if needed.
Would you like a morning or afternoon appointment?,Either is fine.,After school would help.,Morning is better for me.,"Afternoon, please.",What times are available?
"In your own words, what brings you in today?",I’ve had a runny nose since last night.,I feel worse when I exercise.,I think I may have caught a cold.,I need advice about sleeping better.,My ear has been sore.
Is it okay if I check your throat?,"Yes, that’s fine.","I feel a bit nervous, but okay.","Okay, please go ahead.","Yes, but please be gentle.",Can you explain first?
"If you disagree with advice, how can you say that politely?",Thank you. I need time to think.,I’d like a second opinion if possible.,Can you explain why that is best?,"I understand, but I’m worried about side effects.",Could we look at another option?
Let’s plan a check-in. What works for you?,I can come on Friday.,Mornings are difficult.,Please text my parent the time.,A message reminder would help.,Next week after school.
Do I have your consent to proceed with the examination?,I’d like my parent present.,"Yes, you have my consent.","Yes, please explain each step.",Can we wait one minute first?,"I consent, but tell me if anything will hurt."
Do you feel ready to leave with a clear plan?,Yes. I understand the next steps.,Almost—one more question about dosing.,"Yes, and I’ll message if anything changes.",Yes. I’ll book the follow-up now.,Yes. Thank you for explaining.
Who came with you today?,I came with Yuki.,My grandma.,My dad.,My mom.,My family.
Can you come back tomorrow?,Okay.,"Yes, I can.","Yes, after school.",I need to ask my parents.,What time?
Please come back if it gets worse.,I will return if needed.,"Thank you, Doctor.",I understand.,What counts as worse?,"Okay, I will tell my parents."
Would you like a morning or afternoon appointment?,Morning is better for me.,"Afternoon, please.",Either is fine.,What times are available?,After school would help.
"In your own words, what brings you in today?",I’ve had a rash since last night.,I think I may have caught a cold.,My head has been sore.,I feel worse when I exercise.,I need advice about sleeping better.
Is it okay if I check your throat?,"Yes, that’s fine.","I feel a bit nervous, but okay.","Okay, please go ahead.",Can you explain first?,"Yes, but please be gentle."
"If you disagree with advice, how can you say that politely?",Thank you. I need time to think.,"I understand, but I’m worried about side effects.",Can you explain why that is best?,Could we look at another option?,I’d like a second opinion if possible.
Let’s plan a check-in. What works for you?,Next week after school.,Please text my parent the time.,I can come on Friday.,A message reminder would help.,Mornings are difficult.
Do I have your consent to proceed with the examination?,"I consent, but tell me if anything will hurt.","Yes, you have my consent.",I’d like my parent present.,"Yes, please explain each step.",Can we wait one minute first?
Do you feel ready to leave with a clear plan?,Almost—one more question about dosing.,Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.,"Yes, and I’ll message if anything changes.",Yes. I understand the next steps.
Who came with you today?,My dad.,My family.,My mom.,My grandma.,I came with Maya.
Can you come back tomorrow?,I need to ask my parents.,"Yes, I can.",What time?,Okay.,"Yes, after school."
Please come back if it gets worse.,"Okay, I will tell my parents.",I understand.,What counts as worse?,"Thank you, Doctor.",I will return if needed.
Would you like a morning or afternoon appointment?,What times are available?,Either is fine.,Morning is better for me.,After school would help.,"Afternoon, please."
"In your own words, what brings you in today?",I need advice about sleeping better.,I think I may have caught a cold.,I feel worse when I exercise.,My chest has been sore.,I’ve had a cough since last night.
Is it okay if I check your throat?,"Yes, but please be gentle.","I feel a bit nervous, but okay.","Yes, that’s fine.","Okay, please go ahead.",Can you explain first?
"If you disagree with advice, how can you say that politely?",Can you explain why that is best?,"I understand, but I’m worried about side effects.",I’d like a second opinion if possible.,Thank you. I need time to think.,Could we look at another option?
Let’s plan a check-in. What works for you?,A message reminder would help.,I can come on Friday.,Next week after school.,Mornings are difficult.,Please text my parent the time.
Do I have your consent to proceed with the examination?,"I consent, but tell me if anything will hurt.",Can we wait one minute first?,"Yes, please explain each step.",I’d like my parent present.,"Yes, you have my consent."
Do you feel ready to leave with a clear plan?,Yes. I understand the next steps.,Yes. Thank you for explaining.,"Yes, and I’ll message if anything changes.",Yes. I’ll book the follow-up now.,Almost—one more question about dosing.
Who came with you today?,My grandma.,My family.,My mom.,My dad.,I came with Yuki.
Can you come back tomorrow?,Okay.,What time?,"Yes, I can.",I need to ask my parents.,"Yes, after school."
Please come back if it gets worse.,I will return if needed.,"Okay, I will tell my parents.","Thank you, Doctor.",I understand.,What counts as worse?
Would you like a morning or afternoon appointment?,Morning is better for me.,"Afternoon, please.",Either is fine.,After school would help.,What times are available?
"In your own words, what brings you in today?",My tooth has been sore.,I need advice about sleeping better.,I feel worse when I exercise.,I think I may have caught a cold.,I’ve had a stomachache since last night.
Is it okay if I check your throat?,"I feel a bit nervous, but okay.","Okay, please go ahead.",Can you explain first?,"Yes, but please be gentle.","Yes, that’s fine."
"If you disagree with advice, how can you say that politely?",Can you explain why that is best?,I’d like a second opinion if possible.,"I understand, but I’m worried about side effects.",Could we look at another option?,Thank you. I need time to think.
Let’s plan a check-in. What works for you?,A message reminder would help.,Mornings are difficult.,Next week after school.,Please text my parent the time.,I can come on Friday.
Do I have your consent to proceed with the examination?,"Yes, please explain each step.","I consent, but tell me if anything will hurt.",I’d like my parent present.,Can we wait one minute first?,"Yes, you have my consent."
Do you feel ready to leave with a clear plan?,Almost—one more question about dosing.,Yes. I understand the next steps.,Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.,"Yes, and I’ll message if anything changes."
Who came with you today?,My grandma.,My family.,I came with Maya.,My mom.,My dad.
Can you come back tomorrow?,What time?,"Yes, I can.",I need to ask my parents.,"Yes, after school.",Okay.
Please come back if it gets worse.,"Okay, I will tell my parents.",I understand.,"Thank you, Doctor.",I will return if needed.,What counts as worse?
Would you like a morning or afternoon appointment?,What times are available?,"Afternoon, please.",After school would help.,Morning is better for me.,Either is fine.
"In your own words, what brings you in today?",I think I may have caught a cold.,I’ve had ear pain since last night.,I need advice about sleeping better.,My tummy has been sore.,I feel worse when I exercise.
Is it okay if I check your throat?,"Yes, that’s fine.","Yes, but please be gentle.","I feel a bit nervous, but okay.",Can you explain first?,"Okay, please go ahead."
"If you disagree with advice, how can you say that politely?",Could we look at another option?,Thank you. I need time to think.,Can you explain why that is best?,"I understand, but I’m worried about side effects.",I’d like a second opinion if possible.
Let’s plan a check-in. What works for you?,Next week after school.,A message reminder would help.,I can come on Friday.,Mornings are difficult.,Please text my parent the time.
Do I have your consent to proceed with the examination?,I’d like my parent present.,"Yes, please explain each step.","Yes, you have my consent.","I consent, but tell me if anything will hurt.",Can we wait one minute first?
Do you feel ready to leave with a clear plan?,Yes. Thank you for explaining.,Yes. I understand the next steps.,Almost—one more question about dosing.,Yes. I’ll book the follow-up now.,"Yes, and I’ll message if anything changes."
Who came with you today?,My grandma.,My family.,My dad.,My mom.,I came with Yuki.
Can you come back tomorrow?,"Yes, after school.","Yes, I can.",What time?,I need to ask my parents.,Okay.
Please come back if it gets worse.,I understand.,What counts as worse?,"Okay, I will tell my parents.","Thank you, Doctor.",I will return if needed.
Would you like a morning or afternoon appointment?,After school would help.,Morning is better for me.,What times are available?,"Afternoon, please.",Either is fine.
"In your own words, what brings you in today?",I feel worse when I exercise.,My foot has been sore.,I’ve had a headache since last night.,I think I may have caught a cold.,I need advice about sleeping better.
Is it okay if I check your throat?,"Yes, but please be gentle.","Okay, please go ahead.","I feel a bit nervous, but okay.",Can you explain first?,"Yes, that’s fine."
"If you disagree with advice, how can you say that politely?",I’d like a second opinion if possible.,Could we look at another option?,Thank you. I need time to think.,Can you explain why that is best?,"I understand, but I’m worried about side effects."
Let’s plan a check-in. What works for you?,Next week after school.,I can come on Friday.,A message reminder would help.,Please text my parent the time.,Mornings are difficult.
Do I have your consent to proceed with the examination?,"Yes, please explain each step.","I consent, but tell me if anything will hurt.",I’d like my parent present.,Can we wait one minute first?,"Yes, you have my consent."
Do you feel ready to leave with a clear plan?,"Yes, and I’ll message if anything changes.",Yes. I understand the next steps.,Yes. Thank you for explaining.,Almost—one more question about dosing.,Yes. I’ll book the follow-up now.
Who came with you today?,My grandma.,I came with Maya.,My family.,My mom.,My dad.
Can you come back tomorrow?,"Yes, after school.",I need to ask my parents.,What time?,Okay.,"Yes, I can."
Please come back if it gets worse.,I will return if needed.,I understand.,"Okay, I will tell my parents.",What counts as worse?,"Thank you, Doctor."
Would you like a morning or afternoon appointment?,"Afternoon, please.",After school would help.,Morning is better for me.,What times are available?,Either is fine.
"In your own words, what brings you in today?",My knee has been sore.,I feel worse when I exercise.,I’ve had an allergy since last night.,I need advice about sleeping better.,I think I may have caught a cold.
Is it okay if I check your throat?,"Yes, that’s fine.","I feel a bit nervous, but okay.","Okay, please go ahead.",Can you explain first?,"Yes, but please be gentle."
"If you disagree with advice, how can you say that politely?",Thank you. I need time to think.,"I understand, but I’m worried about side effects.",Could we look at another option?,Can you explain why that is best?,I’d like a second opinion if possible.
Let’s plan a check-in. What works for you?,Mornings are difficult.,Please text my parent the time.,I can come on Friday.,A message reminder would help.,Next week after school.
Do I have your consent to proceed with the examination?,"Yes, please explain each step.","I consent, but tell me if anything will hurt.",Can we wait one minute first?,I’d like my parent present.,"Yes, you have my consent."
Do you feel ready to leave with a clear plan?,"Yes, and I’ll message if anything changes.",Yes. I’ll book the follow-up now.,Yes. Thank you for explaining.,Almost—one more question about dosing.,Yes. I understand the next steps.
Who came with you today?,My mom.,My family.,My dad.,I came with Yuki.,My grandma.
Can you come back tomorrow?,I need to ask my parents.,What time?,Okay.,"Yes, after school.","Yes, I can."
Please come back if it gets worse.,What counts as worse?,"Thank you, Doctor.",I will return if needed.,I understand.,"Okay, I will tell my parents."
Would you like a morning or afternoon appointment?,What times are available?,After school would help.,"Afternoon, please.",Either is fine.,Morning is better for me.
"In your own words, what brings you in today?",I feel worse when I exercise.,I’ve had a fever since last night.,I think I may have caught a cold.,I need advice about sleeping better.,My ear has been sore.
Is it okay if I check your throat?,"Yes, but please be gentle.","Okay, please go ahead.","Yes, that’s fine.",Can you explain first?,"I feel a bit nervous, but okay."
"If you disagree with advice, how can you say that politely?",Can you explain why that is best?,I’d like a second opinion if possible.,"I understand, but I’m worried about side effects.",Could we look at another option?,Thank you. I need time to think.
Let’s plan a check-in. What works for you?,Mornings are difficult.,Please text my parent the time.,A message reminder would help.,I can come on Friday.,Next week after school.
Do I have your consent to proceed with the examination?,"Yes, please explain each step.","Yes, you have my consent.",I’d like my parent present.,"I consent, but tell me if anything will hurt.",Can we wait one minute first?
Do you feel ready to leave with a clear plan?,Yes. Thank you for explaining.,Almost—one more question about dosing.,Yes. I’ll book the follow-up now.,Yes. I understand the next steps.,"Yes, and I’ll message if anything changes."
Who came with you today?,My grandma.,My mom.,I came with Maya.,My dad.,My family.
Can you come back tomorrow?,What time?,"Yes, I can.",Okay.,"Yes, after school.",I need to ask my parents.
Please come back if it gets worse.,I understand.,What counts as worse?,"Thank you, Doctor.","Okay, I will tell my parents.",I will return if needed.
Would you like a morning or afternoon appointment?,What times are available?,Morning is better for me.,"Afternoon, please.",After school would help.,Either is fine.
"In your own words, what brings you in today?",I’ve had a sore throat since last night.,I need advice about sleeping better.,I think I may have caught a cold.,I feel worse when I exercise.,My nose has been sore.
Is it okay if I check your throat?,"Okay, please go ahead.","Yes, but please be gentle.","I feel a bit nervous, but okay.","Yes, that’s fine.",Can you explain first?
"If you disagree with advice, how can you say that politely?",Thank you. I need time to think.,I’d like a second opinion if possible.,Could we look at another option?,"I understand, but I’m worried about side effects.",Can you explain why that is best?
Let’s plan a check-in. What works for you?,Please text my parent the time.,A message reminder would help.,Next week after school.,I can come on Friday.,Mornings are difficult.
Do I have your consent to proceed with the examination?,"Yes, you have my consent.","Yes, please explain each step.","I consent, but tell me if anything will hurt.",Can we wait one minute first?,I’d like my parent present.
Do you feel ready to leave with a clear plan?,Yes. I understand the next steps.,Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.,"Yes, and I’ll message if anything changes.",Almost—one more question about dosing.
Who came with you today?,My family.,My grandma.,I came with Yuki.,My mom.,My dad.
Can you come back tomorrow?,Okay.,I need to ask my parents.,What time?,"Yes, after school.","Yes, I can."
Please come back if it gets worse.,What counts as worse?,I understand.,"Okay, I will tell my parents.","Thank you, Doctor.",I will return if needed.
Would you like a morning or afternoon appointment?,Morning is better for me.,What times are available?,After school would help.,Either is fine.,"Afternoon, please."
"In your own words, what brings you in today?",I think I may have caught a cold.,I feel worse when I exercise.,My chest has been sore.,I’ve had dizziness since last night.,I need advice about sleeping better.
Is it okay if I check your throat?,Can you explain first?,"I feel a bit nervous, but okay.","Yes, but please be gentle.","Yes, that’s fine.","Okay, please go ahead."
"If you disagree with advice, how can you say that politely?",Could we look at another option?,Thank you. I need time to think.,"I understand, but I’m worried about side effects.",I’d like a second opinion if possible.,Can you explain why that is best?
Let’s plan a check-in. What works for you?,Next week after school.,Mornings are difficult.,Please text my parent the time.,I can come on Friday.,A message reminder would help.
Do I have your consent to proceed with the examination?,Can we wait one minute first?,"Yes, you have my consent.",I’d like my parent present.,"I consent, but tell me if anything will hurt.","Yes, please explain each step."
Do you feel ready to leave with a clear plan?,"Yes, and I’ll message if anything changes.",Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.,Yes. I understand the next steps.,Almost—one more question about dosing.
Who came with you today?,I came with Maya.,My grandma.,My mom.,My family.,My dad.
Can you come back tomorrow?,I need to ask my parents.,"Yes, I can.","Yes, after school.",What time?,Okay.
Please come back if it gets worse.,I will return if needed.,What counts as worse?,"Thank you, Doctor.","Okay, I will tell my parents.",I understand.
Would you like a morning or afternoon appointment?,Either is fine.,What times are available?,After school would help.,Morning is better for me.,"Afternoon, please."
"In your own words, what brings you in today?",I need advice about sleeping better.,I’ve had a cough since last night.,My eye has been sore.,I feel worse when I exercise.,I think I may have caught a cold.
Is it okay if I check your throat?,"Yes, but please be gentle.","Okay, please go ahead.","I feel a bit nervous, but okay.","Yes, that’s fine.",Can you explain first?
"If you disagree with advice, how can you say that politely?",Can you explain why that is best?,I’d like a second opinion if possible.,Could we look at another option?,"I understand, but I’m worried about side effects.",Thank you. I need time to think.
Let’s plan a check-in. What works for you?,Next week after school.,Mornings are difficult.,A message reminder would help.,I can come on Friday.,Please text my parent the time.
Do I have your consent to proceed with the examination?,I’d like my parent present.,Can we wait one minute first?,"I consent, but tell me if anything will hurt.","Yes, you have my consent.","Yes, please explain each step."
Do you feel ready to leave with a clear plan?,Yes. I’ll book the follow-up now.,"Yes, and I’ll message if anything changes.",Yes. I understand the next steps.,Almost—one more question about dosing.,Yes. Thank you for explaining.
Who came with you today?,My family.,My grandma.,My dad.,I came with Yuki.,My mom.
Can you come back tomorrow?,"Yes, I can.",Okay.,I need to ask my parents.,What time?,"Yes, after school."
