bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
What is wrong today?,I do not feel well.,I feel sick.,I have a sore throat.,My tooth hurts.,I have had a sore throat since after lunch.
When did it start?,It started after lunch.,Last night.,Yesterday.,This morning.,Two days ago.
Do you have a fever?,"Yes, since last night.",Maybe a little.,"Yes, I feel hot.","No, I do not.",My mom checked. It was high.
Can you tell me more about your symptoms?,"I have a runny nose, and it started after lunch.",It is worse at night.,The pain comes and goes.,My knee hurts when I move.,I also feel tired.
Have you noticed any allergies?,I am not sure.,Some foods make my tummy hurt.,No known allergies.,I sneeze near dust.,I get itchy in spring.
What was your temperature this morning?,I do not know the number.,It was 38 degrees.,"I felt hot, but we did not check.",My mom said it was high.,It was normal.
Please summarize your main concern in one or two sentences.,"I’ve had a stomachache since after lunch, and it’s affecting my sleep.",My chest pain started after running.,I want to discuss allergy symptoms that keep returning.,I’m here for a follow-up after last week’s visit.,I need advice on recurring headaches.
Are there any red-flag symptoms I should know about?,No chest pain or breathing trouble.,I had a high fever last night.,None that I noticed.,"No fainting, but I felt dizzy once.",There’s a new rash on my arm.
Hello! How are you today?,I feel tired.,I feel sick.,I am okay.,My tummy hurts.,I am fine.
Does your hand hurt?,"Yes, it hurts here.","No, it is okay.",A little.,"Yes, my hand hurts.",It hurts when I move.
How do you feel?,I feel hot.,I feel better.,I feel sad.,I feel sick.,I feel okay.
Does your tummy hurt?,It hurts now.,"Yes, after eating.",Yes.,No.,A little.
Can I look in your mouth?,Please be gentle.,"Yes, Doctor.",Okay.,I am ready.,Yes.
What is wrong today?,I do not feel well.,I feel sick.,I have a rash.,I have had a rash since after lunch.,My ear hurts.
When did it start?,Last night.,This morning.,It started after lunch.,Two days ago.,Yesterday.
Do you have a fever?,Maybe a little.,"No, I do not.",My mom checked. It was high.,"Yes, since last night.","Yes, I feel hot."
Can you tell me more about your symptoms?,"I have ear pain, and it started after lunch.",I also feel tired.,The pain comes and goes.,It is worse at night.,My eye hurts when I move.
Have you noticed any allergies?,No known allergies.,I am not sure.,Some foods make my tummy hurt.,I get itchy in spring.,I sneeze near dust.
What was your temperature this morning?,It was 38 degrees.,I do not know the number.,"I felt hot, but we did not check.",My mom said it was high.,It was normal.
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,I need advice on recurring headaches.,My knee pain started after running.,"I’ve had a fever since after lunch, and it’s affecting my sleep.",I’m here for a follow-up after last week’s visit.
Are there any red-flag symptoms I should know about?,There’s a new rash on my arm.,I had a high fever last night.,"No fainting, but I felt dizzy once.",No chest pain or breathing trouble.,None that I noticed.
Hello! How are you today?,I am fine.,My tummy hurts.,I feel sick.,I am okay.,I feel tired.
Does your back hurt?,"No, it is okay.",It hurts when I move.,"Yes, my back hurts.","Yes, it hurts here.",A little.
How do you feel?,I feel better.,I feel sad.,I feel hot.,I feel sick.,I feel okay.
Does your tummy hurt?,A little.,Yes.,No.,It hurts now.,"Yes, after eating."
Can I look in your mouth?,Please be gentle.,I am ready.,Okay.,"Yes, Doctor.",Yes.
What is wrong today?,My tummy hurts.,I have had a sore throat since after lunch.,I do not feel well.,I feel sick.,I have a sore throat.
When did it start?,This morning.,Last night.,It started after lunch.,Two days ago.,Yesterday.
Do you have a fever?,"Yes, since last night.","Yes, I feel hot.","No, I do not.",My mom checked. It was high.,Maybe a little.
Can you tell me more about your symptoms?,"I have a runny nose, and it started after lunch.",I also feel tired.,My throat hurts when I move.,The pain comes and goes.,It is worse at night.
Have you noticed any allergies?,Some foods make my tummy hurt.,I sneeze near dust.,No known allergies.,I get itchy in spring.,I am not sure.
What was your temperature this morning?,"I felt hot, but we did not check.",I do not know the number.,It was 38 degrees.,It was normal.,My mom said it was high.
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,I’m here for a follow-up after last week’s visit.,I need advice on recurring headaches.,My eye pain started after running.,"I’ve had a stomachache since after lunch, and it’s affecting my sleep."
Are there any red-flag symptoms I should know about?,No chest pain or breathing trouble.,"No fainting, but I felt dizzy once.",None that I noticed.,There’s a new rash on my arm.,I had a high fever last night.
Hello! How are you today?,I feel tired.,My tummy hurts.,I am fine.,I am okay.,I feel sick.
Does your tooth hurt?,It hurts when I move.,A little.,"Yes, my tooth hurts.","No, it is okay.","Yes, it hurts here."
How do you feel?,I feel sad.,I feel hot.,I feel okay.,I feel better.,I feel sick.
Does your tummy hurt?,No.,Yes.,It hurts now.,"Yes, after eating.",A little.
Can I look in your mouth?,Please be gentle.,Yes.,Okay.,I am ready.,"Yes, Doctor."
What is wrong today?,I do not feel well.,I have dizziness.,I feel sick.,I have had dizziness since after lunch.,My nose hurts.
When did it start?,Two days ago.,This morning.,It started after lunch.,Last night.,Yesterday.
Do you have a fever?,Maybe a little.,My mom checked. It was high.,"No, I do not.","Yes, since last night.","Yes, I feel hot."
Can you tell me more about your symptoms?,The pain comes and goes.,It is worse at night.,My head hurts when I move.,"I have ear pain, and it started after lunch.",I also feel tired.
Have you noticed any allergies?,I am not sure.,No known allergies.,Some foods make my tummy hurt.,I sneeze near dust.,I get itchy in spring.
What was your temperature this morning?,My mom said it was high.,I do not know the number.,It was normal.,"I felt hot, but we did not check.",It was 38 degrees.
Please summarize your main concern in one or two sentences.,I need advice on recurring headaches.,"I’ve had a fever since after lunch, and it’s affecting my sleep.",I’m here for a follow-up after last week’s visit.,My tummy pain started after running.,I want to discuss allergy symptoms that keep returning.
Are there any red-flag symptoms I should know about?,No chest pain or breathing trouble.,I had a high fever last night.,"No fainting, but I felt dizzy once.",There’s a new rash on my arm.,None that I noticed.
Hello! How are you today?,I am okay.,I am fine.,I feel sick.,I feel tired.,My tummy hurts.
Does your ear hurt?,It hurts when I move.,"No, it is okay.","Yes, it hurts here.","Yes, my ear hurts.",A little.
How do you feel?,I feel sad.,I feel sick.,I feel hot.,I feel okay.,I feel better.
Does your tummy hurt?,No.,It hurts now.,"Yes, after eating.",Yes.,A little.
Can I look in your mouth?,Yes.,Please be gentle.,I am ready.,"Yes, Doctor.",Okay.
What is wrong today?,My hand hurts.,I have a headache.,I have had a headache since after lunch.,I feel sick.,I do not feel well.
When did it start?,This morning.,Last night.,Two days ago.,Yesterday.,It started after lunch.
Do you have a fever?,"Yes, since last night.",Maybe a little.,"Yes, I feel hot.",My mom checked. It was high.,"No, I do not."
Can you tell me more about your symptoms?,It is worse at night.,"I have a sore throat, and it started after lunch.",I also feel tired.,The pain comes and goes.,My foot hurts when I move.
Have you noticed any allergies?,I sneeze near dust.,Some foods make my tummy hurt.,I am not sure.,I get itchy in spring.,No known allergies.
What was your temperature this morning?,It was normal.,"I felt hot, but we did not check.",My mom said it was high.,I do not know the number.,It was 38 degrees.
Please summarize your main concern in one or two sentences.,I’m here for a follow-up after last week’s visit.,I need advice on recurring headaches.,My nose pain started after running.,I want to discuss allergy symptoms that keep returning.,"I’ve had a runny nose since after lunch, and it’s affecting my sleep."
Are there any red-flag symptoms I should know about?,There’s a new rash on my arm.,None that I noticed.,I had a high fever last night.,No chest pain or breathing trouble.,"No fainting, but I felt dizzy once."
Hello! How are you today?,I feel sick.,I am fine.,My tummy hurts.,I am okay.,I feel tired.
Does your tummy hurt?,"No, it is okay.",A little.,"Yes, my tummy hurts.",It hurts when I move.,"Yes, it hurts here."
How do you feel?,I feel better.,I feel okay.,I feel sick.,I feel sad.,I feel hot.
Does your tummy hurt?,Yes.,"Yes, after eating.",It hurts now.,A little.,No.
Can I look in your mouth?,Yes.,"Yes, Doctor.",I am ready.,Please be gentle.,Okay.
What is wrong today?,I have dizziness.,I have had dizziness since after lunch.,I feel sick.,My knee hurts.,I do not feel well.
When did it start?,Two days ago.,It started after lunch.,Yesterday.,Last night.,This morning.
Do you have a fever?,My mom checked. It was high.,"Yes, I feel hot.",Maybe a little.,"Yes, since last night.","No, I do not."
Can you tell me more about your symptoms?,"I have a rash, and it started after lunch.",It is worse at night.,I also feel tired.,My chest hurts when I move.,The pain comes and goes.
Have you noticed any allergies?,I get itchy in spring.,Some foods make my tummy hurt.,No known allergies.,I sneeze near dust.,I am not sure.
What was your temperature this morning?,"I felt hot, but we did not check.",It was 38 degrees.,My mom said it was high.,I do not know the number.,It was normal.
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,"I’ve had ear pain since after lunch, and it’s affecting my sleep.",I’m here for a follow-up after last week’s visit.,My hand pain started after running.,I need advice on recurring headaches.
Are there any red-flag symptoms I should know about?,"No fainting, but I felt dizzy once.",There’s a new rash on my arm.,None that I noticed.,I had a high fever last night.,No chest pain or breathing trouble.
Hello! How are you today?,I feel sick.,My tummy hurts.,I am fine.,I am okay.,I feel tired.
Does your foot hurt?,"Yes, my foot hurts.",A little.,"Yes, it hurts here.","No, it is okay.",It hurts when I move.
How do you feel?,I feel okay.,I feel better.,I feel sick.,I feel hot.,I feel sad.
Does your tummy hurt?,"Yes, after eating.",A little.,It hurts now.,Yes.,No.
Can I look in your mouth?,Please be gentle.,Yes.,I am ready.,Okay.,"Yes, Doctor."
What is wrong today?,My eye hurts.,I do not feel well.,I have had a headache since after lunch.,I feel sick.,I have a headache.
When did it start?,Two days ago.,This morning.,Yesterday.,It started after lunch.,Last night.
Do you have a fever?,"Yes, since last night.",My mom checked. It was high.,Maybe a little.,"Yes, I feel hot.","No, I do not."
Can you tell me more about your symptoms?,"I have a sore throat, and it started after lunch.",The pain comes and goes.,My knee hurts when I move.,It is worse at night.,I also feel tired.
Have you noticed any allergies?,I am not sure.,I get itchy in spring.,No known allergies.,I sneeze near dust.,Some foods make my tummy hurt.
What was your temperature this morning?,It was normal.,It was 38 degrees.,My mom said it was high.,I do not know the number.,"I felt hot, but we did not check."
Please summarize your main concern in one or two sentences.,I’m here for a follow-up after last week’s visit.,I want to discuss allergy symptoms that keep returning.,My back pain started after running.,"I’ve had a runny nose since after lunch, and it’s affecting my sleep.",I need advice on recurring headaches.
Are there any red-flag symptoms I should know about?,"No fainting, but I felt dizzy once.",None that I noticed.,I had a high fever last night.,There’s a new rash on my arm.,No chest pain or breathing trouble.
Hello! How are you today?,I am fine.,I am okay.,I feel tired.,My tummy hurts.,I feel sick.
Does your chest hurt?,"No, it is okay.","Yes, my chest hurts.",A little.,"Yes, it hurts here.",It hurts when I move.
How do you feel?,I feel sad.,I feel sick.,I feel hot.,I feel okay.,I feel better.
Does your tummy hurt?,No.,Yes.,A little.,It hurts now.,"Yes, after eating."
Can I look in your mouth?,I am ready.,Please be gentle.,Yes.,Okay.,"Yes, Doctor."
What is wrong today?,I feel sick.,I have dizziness.,My throat hurts.,I have had dizziness since after lunch.,I do not feel well.
When did it start?,Two days ago.,It started after lunch.,Last night.,Yesterday.,This morning.
Do you have a fever?,Maybe a little.,"No, I do not.","Yes, I feel hot.","Yes, since last night.",My mom checked. It was high.
Can you tell me more about your symptoms?,I also feel tired.,My ear hurts when I move.,"I have a rash, and it started after lunch.",The pain comes and goes.,It is worse at night.
Have you noticed any allergies?,I get itchy in spring.,Some foods make my tummy hurt.,I sneeze near dust.,I am not sure.,No known allergies.
What was your temperature this morning?,"I felt hot, but we did not check.",It was 38 degrees.,My mom said it was high.,I do not know the number.,It was normal.
Please summarize your main concern in one or two sentences.,"I’ve had ear pain since after lunch, and it’s affecting my sleep.",My tooth pain started after running.,I want to discuss allergy symptoms that keep returning.,I need advice on recurring headaches.,I’m here for a follow-up after last week’s visit.
Are there any red-flag symptoms I should know about?,None that I noticed.,I had a high fever last night.,"No fainting, but I felt dizzy once.",No chest pain or breathing trouble.,There’s a new rash on my arm.
Hello! How are you today?,I am okay.,I am fine.,I feel tired.,I feel sick.,My tummy hurts.
Does your knee hurt?,A little.,It hurts when I move.,"No, it is okay.","Yes, my knee hurts.","Yes, it hurts here."
How do you feel?,I feel sick.,I feel better.,I feel okay.,I feel hot.,I feel sad.
Does your tummy hurt?,A little.,"Yes, after eating.",Yes.,It hurts now.,No.
Can I look in your mouth?,Okay.,I am ready.,Yes.,"Yes, Doctor.",Please be gentle.
What is wrong today?,My head hurts.,I have had a headache since after lunch.,I do not feel well.,I feel sick.,I have a headache.
When did it start?,Yesterday.,This morning.,It started after lunch.,Two days ago.,Last night.
Do you have a fever?,"Yes, since last night.",Maybe a little.,"No, I do not.","Yes, I feel hot.",My mom checked. It was high.
Can you tell me more about your symptoms?,The pain comes and goes.,It is worse at night.,I also feel tired.,My tummy hurts when I move.,"I have a sore throat, and it started after lunch."
Have you noticed any allergies?,Some foods make my tummy hurt.,No known allergies.,I sneeze near dust.,I get itchy in spring.,I am not sure.
What was your temperature this morning?,It was normal.,It was 38 degrees.,"I felt hot, but we did not check.",I do not know the number.,My mom said it was high.
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,I need advice on recurring headaches.,My ear pain started after running.,"I’ve had a runny nose since after lunch, and it’s affecting my sleep.",I’m here for a follow-up after last week’s visit.
Are there any red-flag symptoms I should know about?,I had a high fever last night.,No chest pain or breathing trouble.,"No fainting, but I felt dizzy once.",There’s a new rash on my arm.,None that I noticed.
Hello! How are you today?,I am fine.,My tummy hurts.,I feel sick.,I am okay.,I feel tired.
Does your eye hurt?,It hurts when I move.,"Yes, it hurts here.",A little.,"No, it is okay.","Yes, my eye hurts."
How do you feel?,I feel sick.,I feel sad.,I feel better.,I feel hot.,I feel okay.
Does your tummy hurt?,No.,A little.,It hurts now.,Yes.,"Yes, after eating."
Can I look in your mouth?,Please be gentle.,"Yes, Doctor.",Yes.,Okay.,I am ready.
What is wrong today?,I have had an allergy since after lunch.,My foot hurts.,I do not feel well.,I have an allergy.,I feel sick.
When did it start?,It started after lunch.,Yesterday.,Two days ago.,This morning.,Last night.
Do you have a fever?,My mom checked. It was high.,Maybe a little.,"Yes, since last night.","Yes, I feel hot.","No, I do not."
Can you tell me more about your symptoms?,The pain comes and goes.,My nose hurts when I move.,I also feel tired.,"I have dizziness, and it started after lunch.",It is worse at night.
Have you noticed any allergies?,I am not sure.,I get itchy in spring.,Some foods make my tummy hurt.,I sneeze near dust.,No known allergies.
What was your temperature this morning?,It was 38 degrees.,"I felt hot, but we did not check.",It was normal.,I do not know the number.,My mom said it was high.
Please summarize your main concern in one or two sentences.,I need advice on recurring headaches.,I’m here for a follow-up after last week’s visit.,"I’ve had ear pain since after lunch, and it’s affecting my sleep.",My head pain started after running.,I want to discuss allergy symptoms that keep returning.
Are there any red-flag symptoms I should know about?,None that I noticed.,"No fainting, but I felt dizzy once.",No chest pain or breathing trouble.,I had a high fever last night.,There’s a new rash on my arm.
Hello! How are you today?,My tummy hurts.,I feel tired.,I am fine.,I feel sick.,I am okay.
Does your throat hurt?,It hurts when I move.,"Yes, it hurts here.","Yes, my throat hurts.",A little.,"No, it is okay."
How do you feel?,I feel sick.,I feel sad.,I feel hot.,I feel okay.,I feel better.
Does your tummy hurt?,A little.,Yes.,"Yes, after eating.",It hurts now.,No.
Can I look in your mouth?,Okay.,Please be gentle.,"Yes, Doctor.",Yes.,I am ready.
What is wrong today?,My chest hurts.,I have a cough.,I do not feel well.,I feel sick.,I have had a cough since after lunch.
When did it start?,It started after lunch.,This morning.,Yesterday.,Two days ago.,Last night.
Do you have a fever?,"Yes, since last night.",Maybe a little.,"Yes, I feel hot.",My mom checked. It was high.,"No, I do not."
Can you tell me more about your symptoms?,The pain comes and goes.,My hand hurts when I move.,I also feel tired.,It is worse at night.,"I have a headache, and it started after lunch."
Have you noticed any allergies?,Some foods make my tummy hurt.,I am not sure.,No known allergies.,I get itchy in spring.,I sneeze near dust.
What was your temperature this morning?,I do not know the number.,My mom said it was high.,It was 38 degrees.,"I felt hot, but we did not check.",It was normal.
Please summarize your main concern in one or two sentences.,I need advice on recurring headaches.,My foot pain started after running.,"I’ve had a sore throat since after lunch, and it’s affecting my sleep.",I want to discuss allergy symptoms that keep returning.,I’m here for a follow-up after last week’s visit.
Are there any red-flag symptoms I should know about?,I had a high fever last night.,No chest pain or breathing trouble.,None that I noticed.,There’s a new rash on my arm.,"No fainting, but I felt dizzy once."
Hello! How are you today?,I feel tired.,I feel sick.,I am fine.,I am okay.,My tummy hurts.
Does your head hurt?,A little.,"No, it is okay.","Yes, my head hurts.",It hurts when I move.,"Yes, it hurts here."
How do you feel?,I feel hot.,I feel better.,I feel sad.,I feel okay.,I feel sick.
Does your tummy hurt?,It hurts now.,A little.,"Yes, after eating.",Yes.,No.
Can I look in your mouth?,I am ready.,Please be gentle.,Okay.,"Yes, Doctor.",Yes.
What is wrong today?,I have an allergy.,I do not feel well.,I have had an allergy since after lunch.,My tooth hurts.,I feel sick.
When did it start?,Two days ago.,This morning.,It started after lunch.,Last night.,Yesterday.
Do you have a fever?,"Yes, since last night.","No, I do not.",My mom checked. It was high.,"Yes, I feel hot.",Maybe a little.
Can you tell me more about your symptoms?,"I have dizziness, and it started after lunch.",The pain comes and goes.,It is worse at night.,My back hurts when I move.,I also feel tired.
Have you noticed any allergies?,I get itchy in spring.,I sneeze near dust.,Some foods make my tummy hurt.,I am not sure.,No known allergies.
What was your temperature this morning?,It was 38 degrees.,I do not know the number.,It was normal.,"I felt hot, but we did not check.",My mom said it was high.
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,I’m here for a follow-up after last week’s visit.,"I’ve had a rash since after lunch, and it’s affecting my sleep.",My chest pain started after running.,I need advice on recurring headaches.
Are there any red-flag symptoms I should know about?,None that I noticed.,I had a high fever last night.,No chest pain or breathing trouble.,"No fainting, but I felt dizzy once.",There’s a new rash on my arm.
Hello! How are you today?,My tummy hurts.,I am okay.,I feel sick.,I am fine.,I feel tired.
Does your foot hurt?,"Yes, my foot hurts.",It hurts when I move.,"No, it is okay.","Yes, it hurts here.",A little.
How do you feel?,I feel okay.,I feel sad.,I feel sick.,I feel better.,I feel hot.
Does your tummy hurt?,A little.,Yes.,"Yes, after eating.",No.,It hurts now.
Can I look in your mouth?,I am ready.,Okay.,Yes.,"Yes, Doctor.",Please be gentle.
What is wrong today?,My ear hurts.,I have had a cough since after lunch.,I have a cough.,I feel sick.,I do not feel well.
When did it start?,Two days ago.,Last night.,It started after lunch.,Yesterday.,This morning.
Do you have a fever?,Maybe a little.,"Yes, I feel hot.",My mom checked. It was high.,"No, I do not.","Yes, since last night."
Can you tell me more about your symptoms?,My tooth hurts when I move.,It is worse at night.,The pain comes and goes.,"I have a headache, and it started after lunch.",I also feel tired.
Have you noticed any allergies?,No known allergies.,I am not sure.,I sneeze near dust.,I get itchy in spring.,Some foods make my tummy hurt.
What was your temperature this morning?,"I felt hot, but we did not check.",It was 38 degrees.,My mom said it was high.,It was normal.,I do not know the number.
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,I’m here for a follow-up after last week’s visit.,"I’ve had a sore throat since after lunch, and it’s affecting my sleep.",I need advice on recurring headaches.,My knee pain started after running.
Are there any red-flag symptoms I should know about?,No chest pain or breathing trouble.,None that I noticed.,I had a high fever last night.,"No fainting, but I felt dizzy once.",There’s a new rash on my arm.
Hello! How are you today?,I am okay.,I am fine.,My tummy hurts.,I feel tired.,I feel sick.
Does your back hurt?,It hurts when I move.,"No, it is okay.",A little.,"Yes, it hurts here.","Yes, my back hurts."
How do you feel?,I feel okay.,I feel sad.,I feel better.,I feel hot.,I feel sick.
Does your tummy hurt?,"Yes, after eating.",Yes.,It hurts now.,A little.,No.
Can I look in your mouth?,I am ready.,"Yes, Doctor.",Yes.,Please be gentle.,Okay.
What is wrong today?,I have an allergy.,I have had an allergy since after lunch.,My tummy hurts.,I feel sick.,I do not feel well.
When did it start?,Last night.,Two days ago.,Yesterday.,This morning.,It started after lunch.
Do you have a fever?,"Yes, since last night.","Yes, I feel hot.",Maybe a little.,My mom checked. It was high.,"No, I do not."
Can you tell me more about your symptoms?,It is worse at night.,"I have dizziness, and it started after lunch.",My ear hurts when I move.,I also feel tired.,The pain comes and goes.
Have you noticed any allergies?,I am not sure.,No known allergies.,Some foods make my tummy hurt.,I sneeze near dust.,I get itchy in spring.
What was your temperature this morning?,It was normal.,I do not know the number.,It was 38 degrees.,My mom said it was high.,"I felt hot, but we did not check."
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,My eye pain started after running.,I’m here for a follow-up after last week’s visit.,"I’ve had a rash since after lunch, and it’s affecting my sleep.",I need advice on recurring headaches.
Are there any red-flag symptoms I should know about?,I had a high fever last night.,"No fainting, but I felt dizzy once.",There’s a new rash on my arm.,None that I noticed.,No chest pain or breathing trouble.
Hello! How are you today?,I feel sick.,I feel tired.,My tummy hurts.,I am fine.,I am okay.
Does your tooth hurt?,It hurts when I move.,"No, it is okay.",A little.,"Yes, it hurts here.","Yes, my tooth hurts."
How do you feel?,I feel better.,I feel okay.,I feel sad.,I feel sick.,I feel hot.
Does your tummy hurt?,A little.,No.,It hurts now.,Yes.,"Yes, after eating."
Can I look in your mouth?,Yes.,"Yes, Doctor.",I am ready.,Please be gentle.,Okay.
What is wrong today?,I feel sick.,I have had a fever since after lunch.,I do not feel well.,I have a fever.,My nose hurts.
When did it start?,Yesterday.,It started after lunch.,Last night.,Two days ago.,This morning.
Do you have a fever?,"Yes, since last night.","No, I do not.",Maybe a little.,My mom checked. It was high.,"Yes, I feel hot."
Can you tell me more about your symptoms?,My head hurts when I move.,The pain comes and goes.,It is worse at night.,I also feel tired.,"I have a headache, and it started after lunch."
Have you noticed any allergies?,No known allergies.,I get itchy in spring.,Some foods make my tummy hurt.,I sneeze near dust.,I am not sure.
What was your temperature this morning?,I do not know the number.,My mom said it was high.,"I felt hot, but we did not check.",It was 38 degrees.,It was normal.
Please summarize your main concern in one or two sentences.,I need advice on recurring headaches.,"I’ve had a sore throat since after lunch, and it’s affecting my sleep.",I want to discuss allergy symptoms that keep returning.,I’m here for a follow-up after last week’s visit.,My throat pain started after running.
Are there any red-flag symptoms I should know about?,None that I noticed.,"No fainting, but I felt dizzy once.",No chest pain or breathing trouble.,There’s a new rash on my arm.,I had a high fever last night.
Hello! How are you today?,I feel tired.,I feel sick.,I am fine.,My tummy hurts.,I am okay.
Does your ear hurt?,"Yes, my ear hurts.","Yes, it hurts here.",It hurts when I move.,A little.,"No, it is okay."
How do you feel?,I feel okay.,I feel sick.,I feel sad.,I feel hot.,I feel better.
Does your tummy hurt?,No.,A little.,Yes.,"Yes, after eating.",It hurts now.
Can I look in your mouth?,Please be gentle.,"Yes, Doctor.",Okay.,Yes.,I am ready.
What is wrong today?,I have had a stomachache since after lunch.,I feel sick.,I do not feel well.,I have a stomachache.,My hand hurts.
When did it start?,It started after lunch.,Last night.,Two days ago.,Yesterday.,This morning.
Do you have a fever?,"No, I do not.",Maybe a little.,"Yes, I feel hot.",My mom checked. It was high.,"Yes, since last night."
Can you tell me more about your symptoms?,My foot hurts when I move.,It is worse at night.,"I have an allergy, and it started after lunch.",The pain comes and goes.,I also feel tired.
Have you noticed any allergies?,I sneeze near dust.,I am not sure.,Some foods make my tummy hurt.,No known allergies.,I get itchy in spring.
What was your temperature this morning?,"I felt hot, but we did not check.",It was normal.,My mom said it was high.,It was 38 degrees.,I do not know the number.
Please summarize your main concern in one or two sentences.,"I’ve had a rash since after lunch, and it’s affecting my sleep.",I need advice on recurring headaches.,My head pain started after running.,I’m here for a follow-up after last week’s visit.,I want to discuss allergy symptoms that keep returning.
Are there any red-flag symptoms I should know about?,There’s a new rash on my arm.,"No fainting, but I felt dizzy once.",None that I noticed.,I had a high fever last night.,No chest pain or breathing trouble.
Hello! How are you today?,I am fine.,My tummy hurts.,I feel sick.,I am okay.,I feel tired.
Does your tummy hurt?,It hurts when I move.,"Yes, it hurts here.",A little.,"Yes, my tummy hurts.","No, it is okay."
How do you feel?,I feel better.,I feel sad.,I feel okay.,I feel hot.,I feel sick.
Does your tummy hurt?,No.,"Yes, after eating.",It hurts now.,Yes.,A little.
Can I look in your mouth?,Yes.,"Yes, Doctor.",Please be gentle.,I am ready.,Okay.
What is wrong today?,I feel sick.,I do not feel well.,I have had a fever since after lunch.,My back hurts.,I have a fever.
When did it start?,Two days ago.,It started after lunch.,This morning.,Yesterday.,Last night.
Do you have a fever?,"No, I do not.",Maybe a little.,"Yes, since last night.",My mom checked. It was high.,"Yes, I feel hot."
Can you tell me more about your symptoms?,"I have a cough, and it started after lunch.",I also feel tired.,My chest hurts when I move.,The pain comes and goes.,It is worse at night.
Have you noticed any allergies?,I sneeze near dust.,I am not sure.,Some foods make my tummy hurt.,No known allergies.,I get itchy in spring.
What was your temperature this morning?,I do not know the number.,My mom said it was high.,It was normal.,It was 38 degrees.,"I felt hot, but we did not check."
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,I need advice on recurring headaches.,"I’ve had a headache since after lunch, and it’s affecting my sleep.",I’m here for a follow-up after last week’s visit.,My hand pain started after running.
Are there any red-flag symptoms I should know about?,No chest pain or breathing trouble.,There’s a new rash on my arm.,"No fainting, but I felt dizzy once.",I had a high fever last night.,None that I noticed.
Hello! How are you today?,I feel tired.,I feel sick.,I am okay.,I am fine.,My tummy hurts.
Does your nose hurt?,"No, it is okay.","Yes, my nose hurts.",A little.,"Yes, it hurts here.",It hurts when I move.
How do you feel?,I feel sad.,I feel hot.,I feel better.,I feel sick.,I feel okay.
Does your tummy hurt?,"Yes, after eating.",It hurts now.,A little.,No.,Yes.
Can I look in your mouth?,Please be gentle.,Okay.,Yes.,"Yes, Doctor.",I am ready.
What is wrong today?,I have a stomachache.,I do not feel well.,My tooth hurts.,I feel sick.,I have had a stomachache since after lunch.
When did it start?,It started after lunch.,This morning.,Two days ago.,Yesterday.,Last night.
Do you have a fever?,"No, I do not.","Yes, since last night.","Yes, I feel hot.",My mom checked. It was high.,Maybe a little.
Can you tell me more about your symptoms?,The pain comes and goes.,"I have an allergy, and it started after lunch.",My knee hurts when I move.,I also feel tired.,It is worse at night.
Have you noticed any allergies?,Some foods make my tummy hurt.,No known allergies.,I sneeze near dust.,I get itchy in spring.,I am not sure.
What was your temperature this morning?,"I felt hot, but we did not check.",It was 38 degrees.,It was normal.,I do not know the number.,My mom said it was high.
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,I need advice on recurring headaches.,My back pain started after running.,I’m here for a follow-up after last week’s visit.,"I’ve had dizziness since after lunch, and it’s affecting my sleep."
Are there any red-flag symptoms I should know about?,There’s a new rash on my arm.,I had a high fever last night.,No chest pain or breathing trouble.,None that I noticed.,"No fainting, but I felt dizzy once."
Hello! How are you today?,I am fine.,I am okay.,My tummy hurts.,I feel tired.,I feel sick.
Does your hand hurt?,It hurts when I move.,"Yes, it hurts here.","Yes, my hand hurts.","No, it is okay.",A little.
How do you feel?,I feel sad.,I feel better.,I feel sick.,I feel hot.,I feel okay.
Does your tummy hurt?,Yes.,"Yes, after eating.",A little.,It hurts now.,No.
Can I look in your mouth?,Okay.,"Yes, Doctor.",Please be gentle.,Yes.,I am ready.
What is wrong today?,I do not feel well.,I have had a fever since after lunch.,I feel sick.,My throat hurts.,I have a fever.
When did it start?,It started after lunch.,Last night.,Yesterday.,This morning.,Two days ago.
Do you have a fever?,"Yes, since last night.",Maybe a little.,My mom checked. It was high.,"No, I do not.","Yes, I feel hot."
Can you tell me more about your symptoms?,"I have a cough, and it started after lunch.",I also feel tired.,It is worse at night.,The pain comes and goes.,My eye hurts when I move.
Have you noticed any allergies?,No known allergies.,I sneeze near dust.,I get itchy in spring.,I am not sure.,Some foods make my tummy hurt.
What was your temperature this morning?,I do not know the number.,"I felt hot, but we did not check.",It was 38 degrees.,My mom said it was high.,It was normal.
Please summarize your main concern in one or two sentences.,I want to discuss allergy symptoms that keep returning.,"I’ve had a headache since after lunch, and it’s affecting my sleep.",I’m here for a follow-up after last week’s visit.,My tooth pain started after running.,I need advice on recurring headaches.
