bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
How many do you see?,One.,There are one.,One toys.,I see one.,Four.,2,27,15
Who is this?,It is my mom.,My sister.,My mom.,This is my mom.,This is Luca.,1,13,22
Where are you?,At the home.,I am at the home.,I am home.,I am at school.,In the farm.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thank you very much!,Thanks a lot!,Thanks!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,Okay.,Yes.,"Yes, please.",7,11,22
Hello!,Hi!,Hi there!,"Hi, friend!",Hello!,"Hello, Benny!",1,14,21
How are you?,I am good.,I am okay.,I am great!,I am fine.,I am happy.,2,15,21
What is your name?,I am Theo.,My name is Noor.,I am Noor.,My name is Theo.,I'm Noor.,3,11,22
Nice to meet you!,Thank you!,Nice to meet you too!,Nice to meet you!,Hi!,You too!,1,12,23
Say goodbye!,Bye!,Bye-bye!,See you!,Good night!,Goodbye!,1,14,21
What color is this?,I see white.,It is green.,This is white.,It is white.,White.,3,10,14
What animal do you see?,A fish.,"Look, a giraffe!",It is a giraffe.,A giraffe.,I see a giraffe.,5,25,14
Do you like bread?,"No, I don't like bread.",I love bread!,Yummy!,Yes!,"Yes, I like bread.",1,17,11
What do you want to play with?,"A teddy, please.","The doll, please.",I want the doll.,Let's play with the doll.,I like the doll.,3,10,14
How many do you see?,One toys.,There are one.,One.,Four.,I see one.,2,27,15
Who is this?,This is my mom.,My mom.,It is my mom.,My sister.,This is Lila.,1,13,22
Where are you?,In the farm.,I am at school.,I am home.,I am at the home.,At the home.,2,15,21
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thank you very much!,"Thank you, friend!",Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,"Yes, please.",Okay.,Here you are.,Yes.,7,11,22
Hello!,Hello!,"Hi, friend!",Hi!,Hi there!,"Hello, Benny!",1,12,23
How are you?,I am happy.,I am okay.,I am good.,I am fine.,I am great!,1,14,21
What is your name?,I'm Ken.,I am Ken.,My name is Ken.,My name is Lara.,I am Lara.,2,15,21
Nice to meet you!,Nice to meet you too!,Hi!,Thank you!,You too!,Nice to meet you!,3,11,22
Say goodbye!,Goodbye!,See you!,Bye-bye!,Bye!,Good night!,1,12,23
What color is this?,I see blue.,It is blue.,Blue.,It is green.,This is blue.,3,10,14
What animal do you see?,A fish.,A zebra.,I see a zebra.,"Look, a zebra!",It is a zebra.,5,25,14
Do you like bread?,"No, I don't like bread.",I love bread!,Yummy!,"Yes, I like bread.",Yes!,1,17,11
What do you want to play with?,Let's play with the doll.,I like the doll.,I want the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,Four.,One.,There are one.,One toys.,I see one.,2,27,15
Who is this?,This is Nico.,My sister.,My mom.,This is my mom.,It is my mom.,1,13,22
Where are you?,I am at school.,In the farm.,I am home.,I am at the home.,At the home.,2,15,21
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thank you!,Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Okay.,Please.,Yes.,7,11,22
Hello!,Hi there!,Hi!,"Hi, friend!","Hello, Benny!",Hello!,3,11,22
How are you?,I am happy.,I am good.,I am fine.,I am great!,I am okay.,1,12,23
What is your name?,I am Lara.,I am Mia.,My name is Mia.,My name is Lara.,I'm Lara.,1,14,21
Nice to meet you!,Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,You too!,2,15,21
Say goodbye!,Good night!,Bye!,Goodbye!,Bye-bye!,See you!,3,11,22
What color is this?,This is orange.,It is orange.,Orange.,It is green.,I see orange.,3,10,14
What animal do you see?,I see a zebra.,A fish.,"Look, a zebra!",A zebra.,It is a zebra.,5,25,14
Do you like bread?,Yummy!,"No, I don't like bread.",Yes!,I love bread!,"Yes, I like bread.",1,17,11
What do you want to play with?,I like the doll.,I want the doll.,"The doll, please.",Let's play with the doll.,"A teddy, please.",3,10,14
How many do you see?,One.,Four.,There are one.,I see one.,One toys.,2,27,15
Who is this?,This is Ana.,This is my mom.,My mom.,It is my mom.,My sister.,1,13,22
Where are you?,At the home.,I am at the home.,In the farm.,I am home.,I am at school.,2,15,21
What can you do?,I can run.,I can play.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks!,Thanks a lot!,Thank you!,Thank you very much!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Yes.,Please.,"Yes, please.",Here you are.,7,11,22
Hello!,"Hello, Benny!",Hi there!,"Hi, friend!",Hello!,Hi!,2,15,21
How are you?,I am okay.,I am fine.,I am great!,I am happy.,I am good.,3,11,22
What is your name?,My name is Lila.,I'm Sam.,I am Sam.,My name is Sam.,I am Lila.,1,12,23
Nice to meet you!,You too!,Thank you!,Nice to meet you!,Nice to meet you too!,Hi!,1,14,21
Say goodbye!,Goodbye!,See you!,Bye!,Bye-bye!,Good night!,2,15,21
What color is this?,This is black.,It is black.,It is green.,Black.,I see black.,3,10,14
What animal do you see?,A zebra.,A fish.,I see a zebra.,"Look, a zebra!",It is a zebra.,5,25,14
Do you like bread?,I love bread!,Yes!,"Yes, I like bread.","No, I don't like bread.",Yummy!,1,17,11
What do you want to play with?,Let's play with the doll.,I like the doll.,I want the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,I see one.,There are one.,Four.,One.,One toys.,2,27,15
Who is this?,My mom.,This is Luca.,This is my mom.,It is my mom.,My sister.,1,13,22
Where are you?,I am home.,I am at school.,I am at the home.,In the farm.,At the home.,2,15,21
What can you do?,I can eat.,I can play.,I can run.,I can jump.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks a lot!,"Thank you, friend!",Thank you!,Thanks!,2,15,17
"Can I have some juice, please?",Please.,Okay.,Here you are.,"Yes, please.",Yes.,7,11,22
Hello!,Hello!,"Hi, friend!",Hi there!,Hi!,"Hello, Benny!",1,14,21
How are you?,I am okay.,I am great!,I am good.,I am fine.,I am happy.,2,15,21
What is your name?,I am Noor.,I'm Noor.,My name is Yuki.,I am Yuki.,My name is Noor.,3,11,22
Nice to meet you!,Hi!,Nice to meet you too!,Nice to meet you!,Thank you!,You too!,1,12,23
Say goodbye!,Good night!,See you!,Goodbye!,Bye!,Bye-bye!,1,14,21
What color is this?,Gold.,I see gold.,It is gold.,This is gold.,It is green.,3,10,14
What animal do you see?,A panda.,"Look, a panda!",I see a panda.,A fish.,It is a panda.,5,25,14
Do you like bread?,Yummy!,Yes!,I love bread!,"Yes, I like bread.","No, I don't like bread.",1,17,11
What do you want to play with?,"The doll, please.",I want the doll.,"A teddy, please.",Let's play with the doll.,I like the doll.,3,10,14
How many do you see?,One.,There are one.,Four.,I see one.,One toys.,2,27,15
Who is this?,My mom.,This is Lila.,My sister.,This is my mom.,It is my mom.,1,13,22
Where are you?,I am home.,I am at school.,At the home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks a lot!,Thanks!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Yes.,Here you are.,Please.,Okay.,"Yes, please.",7,11,22
Hello!,"Hello, Benny!",Hello!,Hi there!,Hi!,"Hi, friend!",1,12,23
How are you?,I am fine.,I am good.,I am okay.,I am great!,I am happy.,1,14,21
What is your name?,My name is Ken.,I am Luca.,I'm Ken.,My name is Luca.,I am Ken.,2,15,21
Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,Nice to meet you!,You too!,3,11,22
Say goodbye!,See you!,Good night!,Bye!,Bye-bye!,Goodbye!,1,12,23
What color is this?,Green.,It is green.,I see green.,This is green.,Okay.,3,10,14
What animal do you see?,It is a panda.,A fish.,A panda.,"Look, a panda!",I see a panda.,5,25,14
Do you like bread?,"No, I don't like bread.","Yes, I like bread.",I love bread!,Yummy!,Yes!,1,17,11
What do you want to play with?,"The doll, please.",Let's play with the doll.,I want the doll.,"A teddy, please.",I like the doll.,3,10,14
How many do you see?,One toys.,I see one.,One.,There are one.,Four.,2,27,15
Who is this?,This is my mom.,It is my mom.,My mom.,My sister.,This is Nico.,1,13,22
Where are you?,I am at the home.,I am home.,In the farm.,At the home.,I am at school.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks!,Thank you very much!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Here you are.,Please.,Yes.,"Yes, please.",Okay.,7,11,22
Hello!,Hello!,Hi there!,Hi!,"Hello, Benny!","Hi, friend!",3,11,22
How are you?,I am fine.,I am good.,I am great!,I am happy.,I am okay.,1,12,23
What is your name?,My name is Lara.,I am Sara.,I am Lara.,I'm Lara.,My name is Sara.,1,14,21
Nice to meet you!,Nice to meet you too!,Hi!,You too!,Nice to meet you!,Thank you!,2,15,21
Say goodbye!,Bye-bye!,See you!,Bye!,Goodbye!,Good night!,3,11,22
What color is this?,This is brown.,It is green.,I see brown.,It is brown.,Brown.,3,10,14
What animal do you see?,A panda.,A fish.,"Look, a panda!",It is a panda.,I see a panda.,5,25,14
Do you like bread?,"No, I don't like bread.","Yes, I like bread.",I love bread!,Yummy!,Yes!,1,17,11
What do you want to play with?,I like the doll.,"A teddy, please.",I want the doll.,Let's play with the doll.,"The doll, please.",3,10,14
How many do you see?,One toys.,I see one.,There are one.,Four.,One.,2,27,15
Who is this?,My sister.,This is my mom.,My mom.,This is Ana.,It is my mom.,1,13,22
Where are you?,I am at school.,In the farm.,I am home.,I am at the home.,At the home.,2,15,21
What can you do?,I can eat.,I can run.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you very much!,Thanks a lot!,Thanks!,Thank you!,2,15,17
"Can I have some juice, please?","Yes, please.",Please.,Okay.,Yes.,Here you are.,7,11,22
Hello!,Hello!,"Hello, Benny!",Hi there!,Hi!,"Hi, friend!",2,15,21
How are you?,I am happy.,I am okay.,I am great!,I am fine.,I am good.,3,11,22
What is your name?,I am Sam.,My name is Sam.,I'm Sam.,I am Ben.,My name is Ben.,1,12,23
Nice to meet you!,Nice to meet you!,Thank you!,Hi!,You too!,Nice to meet you too!,1,14,21
Say goodbye!,Bye!,Bye-bye!,Goodbye!,Good night!,See you!,2,15,21
What color is this?,Gray.,It is green.,I see gray.,This is gray.,It is gray.,3,10,14
What animal do you see?,"Look, a panda!",It is a panda.,I see a panda.,A fish.,A panda.,5,25,14
Do you like bread?,I love bread!,Yes!,"Yes, I like bread.",Yummy!,"No, I don't like bread.",1,17,11
What do you want to play with?,"A teddy, please.",I want the doll.,Let's play with the doll.,I like the doll.,"The doll, please.",3,10,14
How many do you see?,One toys.,Four.,One.,There are one.,I see one.,2,27,15
Who is this?,This is my mom.,My mom.,This is Luca.,It is my mom.,My sister.,1,13,22
Where are you?,In the farm.,I am home.,At the home.,I am at the home.,I am at school.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thank you very much!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?",Okay.,Here you are.,"Yes, please.",Yes.,Please.,7,11,22
Hello!,"Hi, friend!",Hi!,"Hello, Benny!",Hello!,Hi there!,1,14,21
How are you?,I am great!,I am good.,I am okay.,I am happy.,I am fine.,2,15,21
What is your name?,I am Rui.,My name is Rui.,My name is Noor.,I am Noor.,I'm Noor.,3,11,22
Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Hi!,Nice to meet you!,1,12,23
Say goodbye!,See you!,Good night!,Goodbye!,Bye-bye!,Bye!,1,14,21
What color is this?,It is green.,This is yellow.,Yellow.,It is yellow.,I see yellow.,3,10,14
What animal do you see?,A fish.,It is a fox.,"Look, a fox!",A fox.,I see a fox.,5,25,14
Do you like bread?,"Yes, I like bread.",Yes!,"No, I don't like bread.",Yummy!,I love bread!,1,17,11
What do you want to play with?,Let's play with the doll.,"The doll, please.","A teddy, please.",I like the doll.,I want the doll.,3,10,14
How many do you see?,Four.,One.,One toys.,I see one.,There are one.,2,27,15
Who is this?,This is Lila.,This is my mom.,My mom.,It is my mom.,My sister.,1,13,22
Where are you?,At the home.,I am home.,I am at the home.,In the farm.,I am at school.,2,15,21
What can you do?,I can eat.,I can run.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you!,Thank you very much!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Here you are.,Yes.,"Yes, please.",Please.,7,11,22
Hello!,Hi!,"Hi, friend!",Hello!,Hi there!,"Hello, Benny!",1,12,23
How are you?,I am good.,I am okay.,I am fine.,I am great!,I am happy.,1,14,21
What is your name?,My name is Hana.,I'm Ken.,I am Ken.,I am Hana.,My name is Ken.,2,15,21
Nice to meet you!,Hi!,Nice to meet you!,Nice to meet you too!,You too!,Thank you!,3,11,22
Say goodbye!,See you!,Goodbye!,Bye!,Bye-bye!,Good night!,1,12,23
What color is this?,This is pink.,I see pink.,Pink.,It is pink.,It is green.,3,10,14
What animal do you see?,"Look, a fox!",It is a fox.,A fox.,I see a fox.,A fish.,5,25,14
Do you like bread?,I love bread!,Yummy!,Yes!,"No, I don't like bread.","Yes, I like bread.",1,17,11
What do you want to play with?,"The doll, please.","A teddy, please.",I want the doll.,Let's play with the doll.,I like the doll.,3,10,14
How many do you see?,Four.,One toys.,I see one.,There are one.,One.,2,27,15
Who is this?,It is my mom.,This is my mom.,My mom.,This is Nico.,My sister.,1,13,22
Where are you?,In the farm.,I am home.,I am at the home.,I am at school.,At the home.,2,15,21
What can you do?,I can jump.,I can run.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks a lot!,Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?",Okay.,"Yes, please.",Yes.,Please.,Here you are.,7,11,22
Hello!,Hello!,"Hello, Benny!",Hi!,"Hi, friend!",Hi there!,3,11,22
How are you?,I am good.,I am great!,I am okay.,I am happy.,I am fine.,1,12,23
What is your name?,I am Lara.,My name is Lara.,I'm Lara.,I am Sam.,My name is Sam.,1,14,21
Nice to meet you!,Thank you!,Hi!,Nice to meet you!,Nice to meet you too!,You too!,2,15,21
Say goodbye!,Goodbye!,See you!,Bye-bye!,Bye!,Good night!,3,11,22
What color is this?,I see white.,This is white.,It is green.,It is white.,White.,3,10,14
What animal do you see?,A fish.,A fox.,It is a fox.,"Look, a fox!",I see a fox.,5,25,14
Do you like bread?,"Yes, I like bread.",I love bread!,Yummy!,Yes!,"No, I don't like bread.",1,17,11
What do you want to play with?,I like the doll.,"A teddy, please.",Let's play with the doll.,"The doll, please.",I want the doll.,3,10,14
How many do you see?,One.,I see one.,There are one.,Four.,One toys.,2,27,15
Who is this?,This is my mom.,This is Ana.,My sister.,It is my mom.,My mom.,1,13,22
Where are you?,I am at the home.,I am home.,At the home.,I am at school.,In the farm.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks!,"Thank you, friend!",Thank you very much!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Here you are.,Yes.,Okay.,"Yes, please.",Please.,7,11,22
Hello!,"Hello, Benny!","Hi, friend!",Hi there!,Hello!,Hi!,2,15,21
How are you?,I am okay.,I am happy.,I am good.,I am great!,I am fine.,3,11,22
What is your name?,I am Maya.,I am Sam.,My name is Maya.,I'm Sam.,My name is Sam.,1,12,23
Nice to meet you!,Nice to meet you too!,Hi!,You too!,Thank you!,Nice to meet you!,1,14,21
Say goodbye!,See you!,Good night!,Goodbye!,Bye-bye!,Bye!,2,15,21
What color is this?,It is blue.,Blue.,It is green.,This is blue.,I see blue.,3,10,14
What animal do you see?,A owl.,A fish.,"Look, a owl!",I see a owl.,It is a owl.,5,25,14
Do you like bread?,Yummy!,Yes!,I love bread!,"Yes, I like bread.","No, I don't like bread.",1,17,11
What do you want to play with?,"A teddy, please.",Let's play with the doll.,I like the doll.,I want the doll.,"The doll, please.",3,10,14
How many do you see?,One toys.,One.,Four.,I see one.,There are one.,2,27,15
Who is this?,My sister.,This is my mom.,It is my mom.,This is Luca.,My mom.,1,13,22
Where are you?,I am at school.,I am home.,At the home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can jump.,I can eat.,I can play.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you very much!,Thanks a lot!,Thank you!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Yes.,Here you are.,Please.,Okay.,"Yes, please.",7,11,22
Hello!,Hi!,"Hi, friend!",Hi there!,Hello!,"Hello, Benny!",1,14,21
How are you?,I am fine.,I am okay.,I am good.,I am great!,I am happy.,2,15,21
What is your name?,I am Noor.,My name is Noor.,My name is Lara.,I'm Noor.,I am Lara.,3,11,22
Nice to meet you!,Thank you!,Hi!,Nice to meet you!,Nice to meet you too!,You too!,1,12,23
Say goodbye!,Bye!,Goodbye!,Good night!,See you!,Bye-bye!,1,14,21
What color is this?,It is purple.,This is purple.,Purple.,I see purple.,It is green.,3,10,14
What animal do you see?,A owl.,I see a owl.,It is a owl.,"Look, a owl!",A fish.,5,25,14
Do you like bread?,Yes!,"No, I don't like bread.",Yummy!,"Yes, I like bread.",I love bread!,1,17,11
What do you want to play with?,I like the doll.,Let's play with the doll.,"A teddy, please.",I want the doll.,"The doll, please.",3,10,14
How many do you see?,I see one.,One.,One toys.,Four.,There are one.,2,27,15
Who is this?,This is Lila.,My sister.,My mom.,It is my mom.,This is my mom.,1,13,22
Where are you?,I am home.,I am at school.,At the home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,"Thank you, friend!",Thanks a lot!,Thank you very much!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,"Yes, please.",Yes.,Okay.,7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi there!,Hi!,Hello!,1,12,23
How are you?,I am good.,I am happy.,I am great!,I am fine.,I am okay.,1,14,21
What is your name?,My name is Mia.,I am Mia.,I am Ken.,I'm Ken.,My name is Ken.,2,15,21
Nice to meet you!,You too!,Nice to meet you!,Thank you!,Nice to meet you too!,Hi!,3,11,22
Say goodbye!,See you!,Bye-bye!,Good night!,Goodbye!,Bye!,1,12,23
What color is this?,This is black.,It is black.,It is green.,Black.,I see black.,3,10,14
What animal do you see?,"Look, a owl!",A owl.,I see a owl.,A fish.,It is a owl.,5,25,14
Do you like bread?,"No, I don't like bread.",Yes!,I love bread!,Yummy!,"Yes, I like bread.",1,17,11
What do you want to play with?,Let's play with the doll.,I want the doll.,"The doll, please.","A teddy, please.",I like the doll.,3,10,14
How many do you see?,Four.,One.,I see one.,One toys.,There are one.,2,27,15
Who is this?,This is my mom.,My mom.,My sister.,It is my mom.,This is Nico.,1,13,22
Where are you?,At the home.,I am home.,I am at school.,I am at the home.,In the farm.,2,15,21
What can you do?,I can eat.,I can run.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,"Thank you, friend!",Thanks a lot!,Thanks!,Thank you very much!,2,15,17
"Can I have some juice, please?",Okay.,Here you are.,Please.,Yes.,"Yes, please.",7,11,22
Hello!,Hello!,"Hello, Benny!","Hi, friend!",Hi there!,Hi!,3,11,22
How are you?,I am great!,I am okay.,I am fine.,I am happy.,I am good.,1,12,23
What is your name?,My name is Lila.,My name is Lara.,I am Lara.,I am Lila.,I'm Lara.,1,14,21
Nice to meet you!,Thank you!,Nice to meet you!,Nice to meet you too!,You too!,Hi!,2,15,21
Say goodbye!,Bye-bye!,See you!,Bye!,Good night!,Goodbye!,3,11,22
What color is this?,I see red.,Red.,It is green.,This is red.,It is red.,3,10,14
What animal do you see?,A whale.,I see a whale.,A fish.,It is a whale.,"Look, a whale!",5,25,14
Do you like bread?,Yummy!,Yes!,"No, I don't like bread.",I love bread!,"Yes, I like bread.",1,17,11
What do you want to play with?,Let's play with the doll.,I like the doll.,I want the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,One toys.,One.,There are one.,Four.,I see one.,2,27,15
Who is this?,My mom.,This is Ana.,My sister.,It is my mom.,This is my mom.,1,13,22
Where are you?,I am home.,I am at school.,I am at the home.,At the home.,In the farm.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thanks a lot!,Thank you very much!,Thank you!,2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Okay.,Please.,Yes.,7,11,22
Hello!,Hi!,"Hello, Benny!","Hi, friend!",Hello!,Hi there!,2,15,21
How are you?,I am happy.,I am good.,I am great!,I am okay.,I am fine.,3,11,22
What is your name?,My name is Omar.,I am Omar.,I am Sam.,My name is Sam.,I'm Sam.,1,12,23
Nice to meet you!,You too!,Hi!,Nice to meet you!,Nice to meet you too!,Thank you!,1,14,21
Say goodbye!,Goodbye!,Bye-bye!,Good night!,See you!,Bye!,2,15,21
What color is this?,Green.,It is green.,I see green.,This is green.,Okay.,3,10,14
What animal do you see?,It is a whale.,A whale.,I see a whale.,A fish.,"Look, a whale!",5,25,14
Do you like bread?,Yummy!,Yes!,"Yes, I like bread.","No, I don't like bread.",I love bread!,1,17,11
What do you want to play with?,Let's play with the doll.,"The doll, please.",I like the doll.,"A teddy, please.",I want the doll.,3,10,14
How many do you see?,One.,I see one.,One toys.,Four.,There are one.,2,27,15
Who is this?,This is Luca.,My sister.,My mom.,This is my mom.,It is my mom.,1,13,22
Where are you?,In the farm.,I am home.,At the home.,I am at the home.,I am at school.,2,15,21
What can you do?,I can run.,I can play.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks a lot!,Thanks!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Okay.,Please.,Yes.,"Yes, please.",7,11,22
Hello!,"Hi, friend!",Hi there!,Hi!,Hello!,"Hello, Benny!",1,14,21
How are you?,I am fine.,I am happy.,I am good.,I am okay.,I am great!,2,15,21
What is your name?,I'm Noor.,I am Noor.,I am Luca.,My name is Luca.,My name is Noor.,3,11,22
Nice to meet you!,Thank you!,Nice to meet you!,Nice to meet you too!,You too!,Hi!,1,12,23
Say goodbye!,Bye-bye!,See you!,Bye!,Goodbye!,Good night!,1,14,21
What color is this?,It is brown.,Brown.,It is green.,I see brown.,This is brown.,3,10,14
What animal do you see?,I see a whale.,It is a whale.,"Look, a whale!",A whale.,A fish.,5,25,14
Do you like bread?,"Yes, I like bread.","No, I don't like bread.",Yummy!,I love bread!,Yes!,1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.","The doll, please.",I want the doll.,I like the doll.,3,10,14
How many do you see?,I see one.,There are one.,One.,One toys.,Four.,2,27,15
Who is this?,It is my mom.,This is Lila.,My mom.,This is my mom.,My sister.,1,13,22
Where are you?,In the farm.,I am home.,At the home.,I am at school.,I am at the home.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you very much!,Thank you!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?","Yes, please.",Okay.,Please.,Here you are.,Yes.,7,11,22
Hello!,Hi there!,Hi!,Hello!,"Hello, Benny!","Hi, friend!",1,12,23
How are you?,I am fine.,I am good.,I am happy.,I am great!,I am okay.,1,14,21
What is your name?,My name is Sara.,I am Ken.,I'm Ken.,I am Sara.,My name is Ken.,2,15,21
Nice to meet you!,Hi!,You too!,Thank you!,Nice to meet you too!,Nice to meet you!,3,11,22
Say goodbye!,Bye-bye!,Bye!,See you!,Goodbye!,Good night!,1,12,23
What color is this?,This is gold.,Gold.,It is gold.,It is green.,I see gold.,3,10,14
What animal do you see?,A fish.,It is a whale.,I see a whale.,"Look, a whale!",A whale.,5,25,14
Do you like bread?,I love bread!,"Yes, I like bread.",Yummy!,Yes!,"No, I don't like bread.",1,17,11
What do you want to play with?,I like the doll.,"The doll, please.",I want the doll.,"A teddy, please.",Let's play with the doll.,3,10,14
How many do you see?,I see one.,One.,One toys.,Four.,There are one.,2,27,15
Who is this?,It is my mom.,This is my mom.,This is Nico.,My sister.,My mom.,1,13,22
Where are you?,I am at the home.,I am home.,In the farm.,At the home.,I am at school.,2,15,21
What can you do?,I can eat.,I can run.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks!,Thanks a lot!,Thank you!,Thank you very much!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Please.,Okay.,Yes.,7,11,22
Hello!,"Hi, friend!",Hi there!,"Hello, Benny!",Hello!,Hi!,3,11,22
How are you?,I am happy.,I am great!,I am fine.,I am okay.,I am good.,1,12,23
What is your name?,My name is Lara.,My name is Ben.,I am Ben.,I am Lara.,I'm Lara.,1,14,21
Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,You too!,Nice to meet you!,2,15,21
Say goodbye!,Bye-bye!,Good night!,See you!,Goodbye!,Bye!,3,11,22
What color is this?,I see yellow.,It is green.,Yellow.,This is yellow.,It is yellow.,3,10,14
What animal do you see?,It is a dolphin.,"Look, a dolphin!",A fish.,I see a dolphin.,A dolphin.,5,25,14
Do you like bread?,"No, I don't like bread.",Yes!,Yummy!,"Yes, I like bread.",I love bread!,1,17,11
What do you want to play with?,I want the doll.,"A teddy, please.","The doll, please.",I like the doll.,Let's play with the doll.,3,10,14
How many do you see?,One.,I see one.,One toys.,There are one.,Four.,2,27,15
Who is this?,My mom.,It is my mom.,This is my mom.,My sister.,This is Ana.,1,13,22
Where are you?,I am home.,I am at school.,I am at the home.,In the farm.,At the home.,2,15,21
What can you do?,I can eat.,I can play.,I can run.,I can jump.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thanks!,Thank you!,Thank you very much!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Okay.,"Yes, please.",Yes.,Here you are.,Please.,7,11,22
Hello!,"Hi, friend!",Hi!,Hi there!,Hello!,"Hello, Benny!",2,15,21
How are you?,I am good.,I am okay.,I am fine.,I am great!,I am happy.,3,11,22
What is your name?,I am Noor.,I'm Sam.,My name is Noor.,I am Sam.,My name is Sam.,1,12,23
Nice to meet you!,Thank you!,You too!,Nice to meet you!,Hi!,Nice to meet you too!,1,14,21
Say goodbye!,Bye!,Goodbye!,Bye-bye!,Good night!,See you!,2,15,21
What color is this?,Pink.,It is green.,I see pink.,It is pink.,This is pink.,3,10,14
What animal do you see?,I see a dolphin.,"Look, a dolphin!",A dolphin.,It is a dolphin.,A fish.,5,25,14
Do you like bread?,I love bread!,"No, I don't like bread.",Yes!,"Yes, I like bread.",Yummy!,1,17,11
What do you want to play with?,I want the doll.,Let's play with the doll.,"The doll, please.","A teddy, please.",I like the doll.,3,10,14
How many do you see?,There are one.,Four.,I see one.,One toys.,One.,2,27,15
Who is this?,My mom.,This is my mom.,It is my mom.,This is Luca.,My sister.,1,13,22
Where are you?,I am at school.,I am at the home.,In the farm.,I am home.,At the home.,2,15,21
What can you do?,I can jump.,I can run.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thanks!,Thank you very much!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?","Yes, please.",Okay.,Yes.,Here you are.,Please.,7,11,22
Hello!,"Hello, Benny!",Hello!,Hi there!,"Hi, friend!",Hi!,1,14,21
How are you?,I am fine.,I am okay.,I am good.,I am happy.,I am great!,2,15,21
