bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
"Which is bigger, a monkey or a mouse?",The monkey.,A mouse is smaller.,I think the monkey is bigger.,The monkey is bigger than a mouse.,A monkey is bigger.
How do you feel today?,I feel happy.,I feel great.,"A little tired, but okay.",I feel tired.,I am happy today.
What are you going to do this weekend?,I am going to study.,I am going to see my friends.,I will stay home and rest.,I am going to visit the park.,I will play football.
Would you like some noodle?,"Yes, please.",Maybe later.,"Just a little, please.","No, thank you.","Yes, I love noodle."
Where is the library?,I can show you.,Across from the supermarket.,It is next to the school.,It is near the park.,Go straight and turn left.
Sara lost a bag. What can you say?,Was it in the classroom?,Let us ask the teacher.,I can help you look.,Do not worry. We will find it.,Where did you last see it?
What do you think about this story?,"It is okay, but not my favorite.",It looks interesting.,I think it is nice.,I think it is useful.,I like it a lot.
What time do you usually wake up?,I wake up at seven.,I wake up at eight on weekends.,Usually at half past six.,Around 7:00 in the morning.,I get up early.
What are your plans for this evening?,I will finish my homework first.,I might visit the park.,I am not sure yet.,I am going to run after dinner.,I plan to rest and read.
"If it rains tomorrow, what will you do?",I will study at home.,"If it rains, I will stay home.",I will watch a movie indoors.,I will take an umbrella.,I will call my friend instead.
Do you think math is important?,"Yes, because it helps me learn.",Not really. I prefer other subjects.,"Yes, it is useful in daily life.",Yes. Math is important for my future.,"I think so, but it can be hard."
I feel nervous about the test. What should I do?,You should review a little every day.,Ask the teacher if you need help.,Try to sleep well tonight.,Take deep breaths and stay calm.,Study with a friend.
Can you look after my bag for a minute?,Okay. I will watch it.,"Sure, I can look after it.",Of course.,No problem.,"Yes, leave it here."
How is your group project going?,We will present it next week.,We still need more ideas.,"It is a bit difficult, but okay.",It is going well so far.,We finished the first part.
What should we do after school?,How about studying together?,Maybe we can walk in the park.,We could get some snacks.,Why don't we go to the park?,Let's play football.
What is Leo like?,Leo works hard at school.,Leo is friendly and kind.,Leo loves football.,Leo is funny.,"Leo is a bit quiet, but nice."
Have you ever visited Tokyo?,"No, I have never been there.","Yes, I went to Tokyo last year.","Not yet, but I want to.","Yes, it was amazing.",I hope I can visit Tokyo someday.
The bus is late. What can we do?,I can check the schedule on my phone.,We can wait a few more minutes.,We can take the next bus.,Let us call someone.,Maybe we should walk.
Tell me about yourself.,Hi! I'm Lara. Nice to meet you.,I am a student. I like math.,"I am Ken, and I like football.",My name is Ken. I am 11 years old.,I live in Tokyo.
What did you do yesterday?,I studied math.,I played with my friends.,I helped my mom.,I went to the park.,I watched a movie.
What was your favorite class today?,Art was fun.,My favorite class was math.,I liked math today.,I enjoyed English.,PE was my favorite.
Why do you like football?,Because I am good at it.,Because it helps me relax.,Because I can do it with friends.,Because it is fun.,Because I feel happy.
"Which is bigger, a elephant or a mouse?",The elephant is bigger than a mouse.,A elephant is bigger.,The elephant.,I think the elephant is bigger.,A mouse is smaller.
How do you feel today?,I am happy today.,"A little tired, but okay.",I feel happy.,I feel tired.,I feel great.
What are you going to do this weekend?,I am going to see my friends.,I am going to visit the park.,I am going to study.,I will stay home and rest.,I will play football.
Would you like some noodle?,Maybe later.,"Just a little, please.","Yes, please.","Yes, I love noodle.","No, thank you."
Where is the library?,Across from the supermarket.,I can show you.,It is next to the school.,It is near the park.,Go straight and turn left.
Yuki lost a bag. What can you say?,Was it in the classroom?,I can help you look.,Where did you last see it?,Do not worry. We will find it.,Let us ask the teacher.
What do you think about this story?,I like it a lot.,It looks interesting.,I think it is nice.,"It is okay, but not my favorite.",I think it is useful.
What time do you usually wake up?,I wake up at seven.,I get up early.,Around 7:00 in the morning.,I wake up at eight on weekends.,Usually at half past six.
What are your plans for this evening?,I am not sure yet.,I am going to run after dinner.,I might visit the park.,I will finish my homework first.,I plan to rest and read.
"If it rains tomorrow, what will you do?",I will study at home.,I will call my friend instead.,I will watch a movie indoors.,I will take an umbrella.,"If it rains, I will stay home."
Do you think math is important?,"I think so, but it can be hard.",Yes. Math is important for my future.,Not really. I prefer other subjects.,"Yes, because it helps me learn.","Yes, it is useful in daily life."
I feel nervous about the test. What should I do?,Ask the teacher if you need help.,Take deep breaths and stay calm.,Study with a friend.,You should review a little every day.,Try to sleep well tonight.
Can you look after my bag for a minute?,"Yes, leave it here.",Of course.,No problem.,Okay. I will watch it.,"Sure, I can look after it."
How is your group project going?,"It is a bit difficult, but okay.",We still need more ideas.,We will present it next week.,It is going well so far.,We finished the first part.
What should we do after school?,Why don't we go to the park?,We could get some snacks.,Maybe we can walk in the park.,Let's play football.,How about studying together?
What is Maya like?,"Maya is a bit quiet, but nice.",Maya is funny.,Maya works hard at school.,Maya is friendly and kind.,Maya loves football.
Have you ever visited Tokyo?,"Yes, it was amazing.","Not yet, but I want to.",I hope I can visit Tokyo someday.,"No, I have never been there.","Yes, I went to Tokyo last year."
The bus is late. What can we do?,Let us call someone.,We can wait a few more minutes.,Maybe we should walk.,We can take the next bus.,I can check the schedule on my phone.
Tell me about yourself.,My name is Omar. I am 11 years old.,I am a student. I like math.,"I am Omar, and I like football.",Hi! I'm Theo. Nice to meet you.,I live in Tokyo.
What did you do yesterday?,I helped my mom.,I played with my friends.,I watched a movie.,I studied math.,I went to the park.
What was your favorite class today?,PE was my favorite.,I liked math today.,My favorite class was math.,Art was fun.,I enjoyed English.
Why do you like football?,Because it helps me relax.,Because I can do it with friends.,Because I am good at it.,Because it is fun.,Because I feel happy.
"Which is bigger, a elephant or a mouse?",A elephant is bigger.,I think the elephant is bigger.,A mouse is smaller.,The elephant is bigger than a mouse.,The elephant.
How do you feel today?,I feel great.,I feel happy.,"A little tired, but okay.",I am happy today.,I feel tired.
What are you going to do this weekend?,I am going to visit the park.,I am going to study.,I will play football.,I will stay home and rest.,I am going to see my friends.
Would you like some noodle?,"Yes, I love noodle.","No, thank you.","Just a little, please.",Maybe later.,"Yes, please."
Where is the library?,It is next to the school.,I can show you.,It is near the park.,Across from the supermarket.,Go straight and turn left.
Zoe lost a bag. What can you say?,Do not worry. We will find it.,I can help you look.,Was it in the classroom?,Where did you last see it?,Let us ask the teacher.
What do you think about this story?,"It is okay, but not my favorite.",I think it is nice.,I like it a lot.,It looks interesting.,I think it is useful.
What time do you usually wake up?,Usually at half past six.,Around 7:00 in the morning.,I get up early.,I wake up at seven.,I wake up at eight on weekends.
What are your plans for this evening?,I am going to run after dinner.,I plan to rest and read.,I might visit the park.,I am not sure yet.,I will finish my homework first.
"If it rains tomorrow, what will you do?",I will call my friend instead.,I will study at home.,"If it rains, I will stay home.",I will take an umbrella.,I will watch a movie indoors.
Do you think math is important?,Not really. I prefer other subjects.,"Yes, it is useful in daily life.","Yes, because it helps me learn.","I think so, but it can be hard.",Yes. Math is important for my future.
I feel nervous about the test. What should I do?,Take deep breaths and stay calm.,Try to sleep well tonight.,You should review a little every day.,Ask the teacher if you need help.,Study with a friend.
Can you look after my bag for a minute?,"Sure, I can look after it.",Of course.,Okay. I will watch it.,No problem.,"Yes, leave it here."
How is your group project going?,We still need more ideas.,It is going well so far.,We finished the first part.,We will present it next week.,"It is a bit difficult, but okay."
What should we do after school?,Maybe we can walk in the park.,How about studying together?,Why don't we go to the park?,We could get some snacks.,Let's play football.
What is Hana like?,Hana is friendly and kind.,"Hana is a bit quiet, but nice.",Hana loves football.,Hana is funny.,Hana works hard at school.
Have you ever visited Tokyo?,"Yes, I went to Tokyo last year.","Yes, it was amazing.","No, I have never been there.",I hope I can visit Tokyo someday.,"Not yet, but I want to."
The bus is late. What can we do?,We can wait a few more minutes.,Let us call someone.,Maybe we should walk.,I can check the schedule on my phone.,We can take the next bus.
Tell me about yourself.,I am a student. I like math.,My name is Mia. I am 11 years old.,Hi! I'm Leo. Nice to meet you.,I live in Tokyo.,"I am Mia, and I like football."
What did you do yesterday?,I studied math.,I helped my mom.,I watched a movie.,I played with my friends.,I went to the park.
What was your favorite class today?,My favorite class was math.,I liked math today.,I enjoyed English.,Art was fun.,PE was my favorite.
Why do you like football?,Because it is fun.,Because I feel happy.,Because it helps me relax.,Because I can do it with friends.,Because I am good at it.
"Which is bigger, a elephant or a mouse?",A mouse is smaller.,The elephant is bigger than a mouse.,I think the elephant is bigger.,A elephant is bigger.,The elephant.
How do you feel today?,"A little tired, but okay.",I feel great.,I am happy today.,I feel tired.,I feel happy.
What are you going to do this weekend?,I will stay home and rest.,I will play football.,I am going to visit the park.,I am going to study.,I am going to see my friends.
Would you like some noodle?,"Yes, please.","No, thank you.",Maybe later.,"Just a little, please.","Yes, I love noodle."
Where is the library?,I can show you.,It is near the park.,Across from the supermarket.,It is next to the school.,Go straight and turn left.
Lila lost a bag. What can you say?,Was it in the classroom?,Where did you last see it?,Do not worry. We will find it.,I can help you look.,Let us ask the teacher.
What do you think about this story?,It looks interesting.,"It is okay, but not my favorite.",I think it is useful.,I think it is nice.,I like it a lot.
What time do you usually wake up?,I get up early.,Around 7:00 in the morning.,I wake up at seven.,Usually at half past six.,I wake up at eight on weekends.
What are your plans for this evening?,I am going to run after dinner.,I will finish my homework first.,I might visit the park.,I am not sure yet.,I plan to rest and read.
"If it rains tomorrow, what will you do?",I will take an umbrella.,I will call my friend instead.,"If it rains, I will stay home.",I will watch a movie indoors.,I will study at home.
Do you think math is important?,"Yes, it is useful in daily life.",Not really. I prefer other subjects.,"I think so, but it can be hard.",Yes. Math is important for my future.,"Yes, because it helps me learn."
I feel nervous about the test. What should I do?,You should review a little every day.,Take deep breaths and stay calm.,Ask the teacher if you need help.,Try to sleep well tonight.,Study with a friend.
Can you look after my bag for a minute?,"Sure, I can look after it.",Okay. I will watch it.,"Yes, leave it here.",Of course.,No problem.
How is your group project going?,We still need more ideas.,We will present it next week.,We finished the first part.,"It is a bit difficult, but okay.",It is going well so far.
What should we do after school?,How about studying together?,Maybe we can walk in the park.,Let's play football.,We could get some snacks.,Why don't we go to the park?
What is Ana like?,Ana is funny.,"Ana is a bit quiet, but nice.",Ana works hard at school.,Ana is friendly and kind.,Ana loves football.
Have you ever visited Tokyo?,"Yes, it was amazing.","No, I have never been there.","Not yet, but I want to.","Yes, I went to Tokyo last year.",I hope I can visit Tokyo someday.
The bus is late. What can we do?,Maybe we should walk.,Let us call someone.,We can take the next bus.,We can wait a few more minutes.,I can check the schedule on my phone.
Tell me about yourself.,Hi! I'm Lara. Nice to meet you.,"I am Theo, and I like football.",I live in Tokyo.,My name is Theo. I am 11 years old.,I am a student. I like math.
What did you do yesterday?,I helped my mom.,I played with my friends.,I studied math.,I watched a movie.,I went to the park.
What was your favorite class today?,PE was my favorite.,I liked math today.,I enjoyed English.,Art was fun.,My favorite class was math.
Why do you like football?,Because I can do it with friends.,Because it helps me relax.,Because I feel happy.,Because I am good at it.,Because it is fun.
"Which is bigger, a rabbit or a mouse?",The rabbit.,A mouse is smaller.,I think the rabbit is bigger.,The rabbit is bigger than a mouse.,A rabbit is bigger.
How do you feel today?,"A little tired, but okay.",I feel tired.,I feel great.,I feel happy.,I am happy today.
What are you going to do this weekend?,I will stay home and rest.,I am going to visit the park.,I am going to see my friends.,I will play football.,I am going to study.
Would you like some noodle?,"Just a little, please.",Maybe later.,"Yes, I love noodle.","Yes, please.","No, thank you."
Where is the library?,Go straight and turn left.,It is near the park.,Across from the supermarket.,It is next to the school.,I can show you.
Lara lost a bag. What can you say?,I can help you look.,Let us ask the teacher.,Was it in the classroom?,Do not worry. We will find it.,Where did you last see it?
What do you think about this story?,It looks interesting.,I think it is nice.,I think it is useful.,I like it a lot.,"It is okay, but not my favorite."
What time do you usually wake up?,Usually at half past six.,Around 7:00 in the morning.,I wake up at eight on weekends.,I get up early.,I wake up at seven.
What are your plans for this evening?,I will finish my homework first.,I am going to run after dinner.,I am not sure yet.,I might visit the park.,I plan to rest and read.
"If it rains tomorrow, what will you do?",I will take an umbrella.,I will study at home.,I will call my friend instead.,"If it rains, I will stay home.",I will watch a movie indoors.
Do you think math is important?,"I think so, but it can be hard.",Yes. Math is important for my future.,Not really. I prefer other subjects.,"Yes, because it helps me learn.","Yes, it is useful in daily life."
I feel nervous about the test. What should I do?,Study with a friend.,You should review a little every day.,Ask the teacher if you need help.,Take deep breaths and stay calm.,Try to sleep well tonight.
Can you look after my bag for a minute?,Of course.,No problem.,"Sure, I can look after it.","Yes, leave it here.",Okay. I will watch it.
How is your group project going?,It is going well so far.,We will present it next week.,We still need more ideas.,We finished the first part.,"It is a bit difficult, but okay."
What should we do after school?,How about studying together?,Why don't we go to the park?,We could get some snacks.,Let's play football.,Maybe we can walk in the park.
What is Noor like?,Noor is friendly and kind.,Noor is funny.,"Noor is a bit quiet, but nice.",Noor works hard at school.,Noor loves football.
Have you ever visited Tokyo?,I hope I can visit Tokyo someday.,"No, I have never been there.","Yes, it was amazing.","Not yet, but I want to.","Yes, I went to Tokyo last year."
The bus is late. What can we do?,I can check the schedule on my phone.,We can take the next bus.,We can wait a few more minutes.,Maybe we should walk.,Let us call someone.
Tell me about yourself.,"I am Nico, and I like football.",I live in Tokyo.,I am a student. I like math.,Hi! I'm Theo. Nice to meet you.,My name is Nico. I am 11 years old.
What did you do yesterday?,I studied math.,I played with my friends.,I watched a movie.,I went to the park.,I helped my mom.
What was your favorite class today?,Art was fun.,PE was my favorite.,I enjoyed English.,My favorite class was math.,I liked math today.
Why do you like football?,Because it helps me relax.,Because I am good at it.,Because it is fun.,Because I can do it with friends.,Because I feel happy.
"Which is bigger, a rabbit or a mouse?",A rabbit is bigger.,The rabbit is bigger than a mouse.,The rabbit.,A mouse is smaller.,I think the rabbit is bigger.
How do you feel today?,I feel happy.,I am happy today.,"A little tired, but okay.",I feel tired.,I feel great.
What are you going to do this weekend?,I will stay home and rest.,I am going to see my friends.,I am going to visit the park.,I will play football.,I am going to study.
Would you like some noodle?,"Yes, please.",Maybe later.,"Just a little, please.","No, thank you.","Yes, I love noodle."
Where is the library?,Go straight and turn left.,It is next to the school.,Across from the supermarket.,It is near the park.,I can show you.
Leo lost a bag. What can you say?,Was it in the classroom?,Where did you last see it?,Let us ask the teacher.,Do not worry. We will find it.,I can help you look.
What do you think about this story?,It looks interesting.,I think it is useful.,I think it is nice.,"It is okay, but not my favorite.",I like it a lot.
What time do you usually wake up?,I wake up at eight on weekends.,Usually at half past six.,Around 7:00 in the morning.,I wake up at seven.,I get up early.
What are your plans for this evening?,I am going to run after dinner.,I might visit the park.,I will finish my homework first.,I plan to rest and read.,I am not sure yet.
"If it rains tomorrow, what will you do?",I will call my friend instead.,I will study at home.,I will watch a movie indoors.,"If it rains, I will stay home.",I will take an umbrella.
Do you think math is important?,"Yes, because it helps me learn.","I think so, but it can be hard.",Not really. I prefer other subjects.,"Yes, it is useful in daily life.",Yes. Math is important for my future.
I feel nervous about the test. What should I do?,Study with a friend.,Take deep breaths and stay calm.,Ask the teacher if you need help.,Try to sleep well tonight.,You should review a little every day.
Can you look after my bag for a minute?,No problem.,Okay. I will watch it.,Of course.,"Sure, I can look after it.","Yes, leave it here."
How is your group project going?,We still need more ideas.,We will present it next week.,It is going well so far.,We finished the first part.,"It is a bit difficult, but okay."
What should we do after school?,Maybe we can walk in the park.,How about studying together?,Let's play football.,We could get some snacks.,Why don't we go to the park?
What is Sara like?,Sara works hard at school.,Sara is friendly and kind.,Sara is funny.,Sara loves football.,"Sara is a bit quiet, but nice."
Have you ever visited Tokyo?,"Not yet, but I want to.","Yes, it was amazing.",I hope I can visit Tokyo someday.,"Yes, I went to Tokyo last year.","No, I have never been there."
The bus is late. What can we do?,I can check the schedule on my phone.,We can take the next bus.,We can wait a few more minutes.,Maybe we should walk.,Let us call someone.
Tell me about yourself.,"I am Sam, and I like football.",My name is Sam. I am 11 years old.,Hi! I'm Leo. Nice to meet you.,I live in Tokyo.,I am a student. I like math.
What did you do yesterday?,I played with my friends.,I watched a movie.,I helped my mom.,I went to the park.,I studied math.
What was your favorite class today?,I liked math today.,PE was my favorite.,I enjoyed English.,My favorite class was math.,Art was fun.
Why do you like football?,Because it is fun.,Because I feel happy.,Because it helps me relax.,Because I can do it with friends.,Because I am good at it.
"Which is bigger, a mouse or a mouse?",The mouse.,The mouse is bigger than a mouse.,A mouse is bigger.,I think the mouse is bigger.,A mouse is smaller.
How do you feel today?,"A little tired, but okay.",I feel great.,I feel tired.,I am happy today.,I feel happy.
What are you going to do this weekend?,I will play football.,I will stay home and rest.,I am going to visit the park.,I am going to study.,I am going to see my friends.
Would you like some noodle?,"Just a little, please.",Maybe later.,"Yes, I love noodle.","Yes, please.","No, thank you."
Where is the library?,It is near the park.,It is next to the school.,Across from the supermarket.,I can show you.,Go straight and turn left.
Maya lost a bag. What can you say?,Was it in the classroom?,I can help you look.,Let us ask the teacher.,Where did you last see it?,Do not worry. We will find it.
What do you think about this story?,I think it is useful.,"It is okay, but not my favorite.",I think it is nice.,I like it a lot.,It looks interesting.
What time do you usually wake up?,Around 7:00 in the morning.,I wake up at eight on weekends.,Usually at half past six.,I get up early.,I wake up at seven.
What are your plans for this evening?,I plan to rest and read.,I am not sure yet.,I am going to run after dinner.,I might visit the park.,I will finish my homework first.
"If it rains tomorrow, what will you do?","If it rains, I will stay home.",I will call my friend instead.,I will take an umbrella.,I will watch a movie indoors.,I will study at home.
Do you think math is important?,"I think so, but it can be hard.",Yes. Math is important for my future.,Not really. I prefer other subjects.,"Yes, it is useful in daily life.","Yes, because it helps me learn."
I feel nervous about the test. What should I do?,You should review a little every day.,Take deep breaths and stay calm.,Try to sleep well tonight.,Ask the teacher if you need help.,Study with a friend.
Can you look after my bag for a minute?,Okay. I will watch it.,"Yes, leave it here.",Of course.,No problem.,"Sure, I can look after it."
How is your group project going?,We still need more ideas.,"It is a bit difficult, but okay.",We will present it next week.,It is going well so far.,We finished the first part.
What should we do after school?,Maybe we can walk in the park.,Let's play football.,Why don't we go to the park?,We could get some snacks.,How about studying together?
What is Yuki like?,Yuki is funny.,Yuki works hard at school.,"Yuki is a bit quiet, but nice.",Yuki is friendly and kind.,Yuki loves football.
Have you ever visited Tokyo?,"Yes, I went to Tokyo last year.","No, I have never been there.","Yes, it was amazing.","Not yet, but I want to.",I hope I can visit Tokyo someday.
The bus is late. What can we do?,Let us call someone.,I can check the schedule on my phone.,We can wait a few more minutes.,Maybe we should walk.,We can take the next bus.
Tell me about yourself.,My name is Rui. I am 11 years old.,Hi! I'm Lara. Nice to meet you.,"I am Rui, and I like football.",I live in Tokyo.,I am a student. I like math.
What did you do yesterday?,I played with my friends.,I studied math.,I helped my mom.,I watched a movie.,I went to the park.
What was your favorite class today?,I enjoyed English.,My favorite class was math.,I liked math today.,Art was fun.,PE was my favorite.
Why do you like football?,Because it helps me relax.,Because I feel happy.,Because it is fun.,Because I can do it with friends.,Because I am good at it.
"Which is bigger, a mouse or a mouse?",A mouse is smaller.,The mouse is bigger than a mouse.,I think the mouse is bigger.,The mouse.,A mouse is bigger.
How do you feel today?,I feel great.,I feel happy.,"A little tired, but okay.",I am happy today.,I feel tired.
What are you going to do this weekend?,I will stay home and rest.,I am going to visit the park.,I will play football.,I am going to study.,I am going to see my friends.
Would you like some noodle?,Maybe later.,"Just a little, please.","Yes, please.","Yes, I love noodle.","No, thank you."
Where is the library?,It is near the park.,It is next to the school.,Go straight and turn left.,I can show you.,Across from the supermarket.
Hana lost a bag. What can you say?,Let us ask the teacher.,Do not worry. We will find it.,Where did you last see it?,I can help you look.,Was it in the classroom?
What do you think about this story?,"It is okay, but not my favorite.",I like it a lot.,I think it is useful.,It looks interesting.,I think it is nice.
What time do you usually wake up?,I wake up at eight on weekends.,Usually at half past six.,I wake up at seven.,I get up early.,Around 7:00 in the morning.
What are your plans for this evening?,I plan to rest and read.,I am going to run after dinner.,I might visit the park.,I will finish my homework first.,I am not sure yet.
"If it rains tomorrow, what will you do?",I will take an umbrella.,I will watch a movie indoors.,I will call my friend instead.,"If it rains, I will stay home.",I will study at home.
Do you think math is important?,Yes. Math is important for my future.,Not really. I prefer other subjects.,"Yes, because it helps me learn.","I think so, but it can be hard.","Yes, it is useful in daily life."
I feel nervous about the test. What should I do?,Take deep breaths and stay calm.,You should review a little every day.,Try to sleep well tonight.,Ask the teacher if you need help.,Study with a friend.
Can you look after my bag for a minute?,Okay. I will watch it.,No problem.,"Sure, I can look after it.",Of course.,"Yes, leave it here."
How is your group project going?,It is going well so far.,We will present it next week.,We still need more ideas.,"It is a bit difficult, but okay.",We finished the first part.
What should we do after school?,Maybe we can walk in the park.,Let's play football.,How about studying together?,We could get some snacks.,Why don't we go to the park?
What is Zoe like?,Zoe is friendly and kind.,Zoe works hard at school.,Zoe is funny.,"Zoe is a bit quiet, but nice.",Zoe loves football.
Have you ever visited Tokyo?,I hope I can visit Tokyo someday.,"Not yet, but I want to.","No, I have never been there.","Yes, I went to Tokyo last year.","Yes, it was amazing."
The bus is late. What can we do?,Maybe we should walk.,We can wait a few more minutes.,Let us call someone.,I can check the schedule on my phone.,We can take the next bus.
Tell me about yourself.,"I am Eli, and I like football.",I live in Tokyo.,I am a student. I like math.,Hi! I'm Theo. Nice to meet you.,My name is Eli. I am 11 years old.
What did you do yesterday?,I studied math.,I helped my mom.,I watched a movie.,I played with my friends.,I went to the park.
What was your favorite class today?,I liked math today.,My favorite class was math.,I enjoyed English.,Art was fun.,PE was my favorite.
Why do you like football?,Because it is fun.,Because I am good at it.,Because I can do it with friends.,Because it helps me relax.,Because I feel happy.
"Which is bigger, a chicken or a mouse?",The chicken.,I think the chicken is bigger.,The chicken is bigger than a mouse.,A mouse is smaller.,A chicken is bigger.
How do you feel today?,I feel tired.,I feel happy.,"A little tired, but okay.",I feel great.,I am happy today.
What are you going to do this weekend?,I will stay home and rest.,I am going to visit the park.,I will play football.,I am going to see my friends.,I am going to study.
Would you like some noodle?,"Yes, I love noodle.","Yes, please.",Maybe later.,"No, thank you.","Just a little, please."
Where is the library?,Go straight and turn left.,It is next to the school.,Across from the supermarket.,I can show you.,It is near the park.
Ana lost a bag. What can you say?,Was it in the classroom?,Let us ask the teacher.,Do not worry. We will find it.,Where did you last see it?,I can help you look.
What do you think about this story?,I like it a lot.,"It is okay, but not my favorite.",I think it is useful.,It looks interesting.,I think it is nice.
What time do you usually wake up?,I wake up at seven.,I get up early.,Around 7:00 in the morning.,Usually at half past six.,I wake up at eight on weekends.
What are your plans for this evening?,I will finish my homework first.,I plan to rest and read.,I am not sure yet.,I might visit the park.,I am going to run after dinner.
"If it rains tomorrow, what will you do?",I will study at home.,I will call my friend instead.,I will watch a movie indoors.,I will take an umbrella.,"If it rains, I will stay home."
Do you think math is important?,"Yes, it is useful in daily life.","Yes, because it helps me learn.","I think so, but it can be hard.",Yes. Math is important for my future.,Not really. I prefer other subjects.
I feel nervous about the test. What should I do?,Ask the teacher if you need help.,Study with a friend.,Take deep breaths and stay calm.,You should review a little every day.,Try to sleep well tonight.
Can you look after my bag for a minute?,Okay. I will watch it.,"Yes, leave it here.","Sure, I can look after it.",No problem.,Of course.
How is your group project going?,We will present it next week.,It is going well so far.,We finished the first part.,"It is a bit difficult, but okay.",We still need more ideas.
What should we do after school?,We could get some snacks.,Let's play football.,How about studying together?,Maybe we can walk in the park.,Why don't we go to the park?
What is Lila like?,"Lila is a bit quiet, but nice.",Lila is funny.,Lila is friendly and kind.,Lila loves football.,Lila works hard at school.
Have you ever visited Tokyo?,"Not yet, but I want to.",I hope I can visit Tokyo someday.,"Yes, I went to Tokyo last year.","No, I have never been there.","Yes, it was amazing."
The bus is late. What can we do?,We can wait a few more minutes.,We can take the next bus.,I can check the schedule on my phone.,Let us call someone.,Maybe we should walk.
Tell me about yourself.,I am a student. I like math.,"I am Ben, and I like football.",Hi! I'm Leo. Nice to meet you.,My name is Ben. I am 11 years old.,I live in Tokyo.
What did you do yesterday?,I helped my mom.,I studied math.,I went to the park.,I watched a movie.,I played with my friends.
What was your favorite class today?,I liked math today.,I enjoyed English.,PE was my favorite.,Art was fun.,My favorite class was math.
Why do you like football?,Because I feel happy.,Because I can do it with friends.,Because I am good at it.,Because it helps me relax.,Because it is fun.
"Which is bigger, a chicken or a mouse?",A chicken is bigger.,The chicken.,The chicken is bigger than a mouse.,A mouse is smaller.,I think the chicken is bigger.
How do you feel today?,I feel great.,I feel happy.,"A little tired, but okay.",I am happy today.,I feel tired.
What are you going to do this weekend?,I will play football.,I am going to visit the park.,I am going to study.,I am going to see my friends.,I will stay home and rest.
Would you like some noodle?,"Just a little, please.",Maybe later.,"Yes, please.","Yes, I love noodle.","No, thank you."
Where is the library?,I can show you.,Go straight and turn left.,Across from the supermarket.,It is next to the school.,It is near the park.
Noor lost a bag. What can you say?,Let us ask the teacher.,Was it in the classroom?,I can help you look.,Where did you last see it?,Do not worry. We will find it.
What do you think about this story?,It looks interesting.,I like it a lot.,I think it is nice.,"It is okay, but not my favorite.",I think it is useful.
What time do you usually wake up?,I wake up at seven.,Usually at half past six.,I get up early.,I wake up at eight on weekends.,Around 7:00 in the morning.
What are your plans for this evening?,I plan to rest and read.,I am not sure yet.,I am going to run after dinner.,I might visit the park.,I will finish my homework first.
"If it rains tomorrow, what will you do?","If it rains, I will stay home.",I will call my friend instead.,I will watch a movie indoors.,I will study at home.,I will take an umbrella.
Do you think math is important?,"Yes, it is useful in daily life.",Yes. Math is important for my future.,Not really. I prefer other subjects.,"Yes, because it helps me learn.","I think so, but it can be hard."
I feel nervous about the test. What should I do?,Study with a friend.,You should review a little every day.,Ask the teacher if you need help.,Try to sleep well tonight.,Take deep breaths and stay calm.
Can you look after my bag for a minute?,"Sure, I can look after it.",Of course.,Okay. I will watch it.,No problem.,"Yes, leave it here."
How is your group project going?,We finished the first part.,"It is a bit difficult, but okay.",We still need more ideas.,We will present it next week.,It is going well so far.
What should we do after school?,We could get some snacks.,Maybe we can walk in the park.,Let's play football.,Why don't we go to the park?,How about studying together?
What is Lara like?,Lara works hard at school.,"Lara is a bit quiet, but nice.",Lara is funny.,Lara is friendly and kind.,Lara loves football.
Have you ever visited Tokyo?,"Yes, it was amazing.","No, I have never been there.",I hope I can visit Tokyo someday.,"Yes, I went to Tokyo last year.","Not yet, but I want to."
The bus is late. What can we do?,Let us call someone.,Maybe we should walk.,I can check the schedule on my phone.,We can wait a few more minutes.,We can take the next bus.
Tell me about yourself.,My name is Luca. I am 11 years old.,I am a student. I like math.,Hi! I'm Lara. Nice to meet you.,"I am Luca, and I like football.",I live in Tokyo.
What did you do yesterday?,I went to the park.,I watched a movie.,I played with my friends.,I helped my mom.,I studied math.
What was your favorite class today?,I enjoyed English.,PE was my favorite.,Art was fun.,I liked math today.,My favorite class was math.
Why do you like football?,Because it helps me relax.,Because it is fun.,Because I can do it with friends.,Because I am good at it.,Because I feel happy.
"Which is bigger, a bee or a mouse?",I think the bee is bigger.,A mouse is smaller.,A bee is bigger.,The bee.,The bee is bigger than a mouse.
How do you feel today?,I feel great.,I feel tired.,I am happy today.,"A little tired, but okay.",I feel happy.
What are you going to do this weekend?,I am going to see my friends.,I am going to visit the park.,I will play football.,I will stay home and rest.,I am going to study.
Would you like some noodle?,"Just a little, please.","Yes, please.","Yes, I love noodle.",Maybe later.,"No, thank you."
Where is the library?,It is near the park.,Across from the supermarket.,Go straight and turn left.,It is next to the school.,I can show you.
Sara lost a bag. What can you say?,Do not worry. We will find it.,Where did you last see it?,Let us ask the teacher.,Was it in the classroom?,I can help you look.
What do you think about this story?,It looks interesting.,I think it is useful.,I like it a lot.,I think it is nice.,"It is okay, but not my favorite."
What time do you usually wake up?,I get up early.,I wake up at seven.,Usually at half past six.,Around 7:00 in the morning.,I wake up at eight on weekends.
What are your plans for this evening?,I plan to rest and read.,I might visit the park.,I am not sure yet.,I am going to run after dinner.,I will finish my homework first.
"If it rains tomorrow, what will you do?",I will study at home.,I will take an umbrella.,I will call my friend instead.,I will watch a movie indoors.,"If it rains, I will stay home."
